row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,329.952,7.246,337.198,329952.0,7246.0,337198.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,32.622,-,32.622,32622.0,,32622.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,362.574,7.246,369.820,362574.0,7246.0,369820.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,194.831,7.177,202.008,194831.0,7177.0,202008.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,32.348,22,32.370,32348.0,22.0,32370.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,227.179,7.199,234.378,227179.0,7199.0,234378.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,135.121,69,135.190,135121.0,69.0,135190.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,135.395,47,135.442,135395.0,47.0,135442.0
