row_label_raw,row_label_full,col_0,Mức độ ảnh hưởng tới kết quả hoạt động kinh doanh – tăng/(giảm) lợi nhuận Triệu VND,Mức độ ảnh hưởng tới vốn chủ sở hữu – tăng/(giảm) vốn chủ sở hữuTriệu VND,numeric__Mức độ ảnh hưởng tới kết quả hoạt động kinh doanh – tăng/(giảm) lợi nhuận Triệu VND,numeric__Mức độ ảnh hưởng tới vốn chủ sở hữu – tăng/(giảm) vốn chủ sở hữuTriệu VND
Năm kết thúc ngày 31 tháng 12 năm 2020,Năm kết thúc ngày 31 tháng 12 năm 2020,Năm kết thúc ngày 31 tháng 12 năm 2020,Năm kết thúc ngày 31 tháng 12 năm 2020,Năm kết thúc ngày 31 tháng 12 năm 2020,,
"VND giảm giá 1,0% so với USD","Năm kết thúc ngày 31 tháng 12 năm 2020 > VND giảm giá 1,0% so với USD","VND giảm giá 1,0% so với USD",3.230,(2.584),3230.0,-2584.0
"VND tăng giá 1,0% so với US","Năm kết thúc ngày 31 tháng 12 năm 2020 > VND tăng giá 1,0% so với US","VND tăng giá 1,0% so với US",(3.230),2.584,-3230.0,2584.0
Năm kết thúc ngày 31 tháng 12 năm 2019,Năm kết thúc ngày 31 tháng 12 năm 2019,Năm kết thúc ngày 31 tháng 12 năm 2019,Năm kết thúc ngày 31 tháng 12 năm 2019,Năm kết thúc ngày 31 tháng 12 năm 2019,,
"VND giảm giá 1,0% so với USD","Năm kết thúc ngày 31 tháng 12 năm 2019 > VND giảm giá 1,0% so với USD","VND giảm giá 1,0% so với USD",158,(126),158.0,-126.0
"VND tăng giá 1,0% so với USD","Năm kết thúc ngày 31 tháng 12 năm 2019 > VND tăng giá 1,0% so với USD","VND tăng giá 1,0% so với USD",(158),126,-158.0,126.0
