row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,314.261,7.246,321.507,314261.0,7246.0,321507.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,15.691,-,15.691,15691.0,,15691.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,329.952,7.246,337.198,329952.0,7246.0,337198.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,163.288,6.364,169.652,163288.0,6364.0,169652.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,31.543,813,32.356,31543.0,813.0,32356.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,194.831,7.177,202.008,194831.0,7177.0,202008.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,150.973,882,151.855,150973.0,882.0,151855.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,135.121,69,135.190,135121.0,69.0,135190.0
