row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,527.774.586.582,2.952.447.751.355,54.949.941.105,133.508.767.380,3.668.681.046.422,527774586582.0,2952447751355.0,54949941105.0,133508767380.0,3668681046422.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.717.300.000,89.000.000,970.296.000,4.776.596.000,,3717300000.0,89000000.0,970296000.0,4776596000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,5.162.177.421,25.656.602.879,-,2.823.506.318,33.642.286.618,5162177421.0,25656602879.0,,2823506318.0,33642286618.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,7.859.289.977,-,-,-,7.859.289.977,7859289977.0,,,,7859289977.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,540.796.053.980,2.981.821.654.234,55.038.941.105,137.302.569.698,3.714.959.219.017,540796053980.0,2981821654234.0,55038941105.0,137302569698.0,3714959219017.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,460.501.333.108,2.782.006.058.633,54.017.649.861,120.731.852.973,3.417.256.894.575,460501333108.0,2782006058633.0,54017649861.0,120731852973.0,3417256894575.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,9.001.916.503,73.269.445.446,216.677.733,6.775.313.504,89.263.353.186,9001916503.0,73269445446.0,216677733.0,6775313504.0,89263353186.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,6.409.410.375,-,-,-,6.409.410.375,6409410375.0,,,,6409410375.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,475.912.659.986,2.855.275.504.079,54.234.327.594,127.507.166.477,3.512.929.658.136,475912659986.0,2855275504079.0,54234327594.0,127507166477.0,3512929658136.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,67.273.253.474,170.441.692.722,932.291.244,12.776.914.407,251.424.151.847,67273253474.0,170441692722.0,932291244.0,12776914407.0,251424151847.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,64.883.393.994,126.546.150.155,804.613.511,9.795.403.221,202.029.560.881,64883393994.0,126546150155.0,804613511.0,9795403221.0,202029560881.0
