row_label_raw,row_label_full,STT,Tên công ty,Trụ sở chính,Hoạt động chính,31/12/2025,31/12/2025_1,1/1/2025,1/1/2025_1,numeric__Tên công ty,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__31/12/2025,numeric__31/12/2025_1,numeric__1/1/2025,numeric__1/1/2025_1
STT,STT,STT,Tên công ty,Trụ sở chính,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,,
1,1,1,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,,,,,,,
1,1 > 1,1,Công ty TNHH Một Thành viên Bia Sài Gòn - Sóc Trăng,"Lô S, Khu Công nghiệp An Nghiệp, Xã An Ninh, Thành phố Cần Thơ, Việt Nam","Sản xuất và kinh doanh bia, mạch nha ủ lên men, nước khoáng và nước tinh khiết đóng chai","86,32%",100%,"84,46%",100%,,,,0.8632,1.0,0.8445999999999999,1.0
2,2,2,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (*),Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (*),Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (*),Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (*),Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (*),Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (*),Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (*),,,,,,,
2,2 > 2,2,Công ty TNHH Thương mại và Dịch vụ Bia Sài Gòn Bình Tây,"Số 8 Nam Kỳ Khởi Nghĩa, Phường Sài Gòn, Thành phố Hồ Chí Minh, Việt Nam",Kinh doanh nước giải khát và dịch vụ nhà hàng,"59,63%",100%,-,-,,,,0.5963,1.0,,
3,2 > 3,3,Công ty TNHH Bia Sài Gòn - Ninh Thuận,"Khu Công nghiệp Thành Hải, Phường Bảo An, Tỉnh Khánh Hòa, Việt Nam",Sản xuất và kinh doanh bia,"59,63%",100%,-,-,,,,0.5963,1.0,,
4,2 > 4,4,Công ty TNHH Một Thành viên Bia Sài Gòn - Phú Lý,"104 - 106 Trần Phú, Phường Hà Nam, Tỉnh Ninh Bình, Việt Nam",Sản xuất và kinh doanh bia,"59,63%",100%,-,-,,,,0.5963,1.0,,
1,1,1,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,,,,,,
1,1 > 1,1,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,"50A, Bùi Thị Xuân, Phường Bến Thành, Thành phố Hồ Chí Minh, Việt Nam",Tư vấn xây dựng và thiết kế,"28,57%","28,57%","28,57%","28,57%",,,,0.2857,0.2857,0.2857,0.2857
2,1 > 2,2,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,"3E/5, Phố Quang, Phường Tân Sơn Hòa, Thành phố Hồ Chí Minh, Việt Nam","Sản xuất, lắp đặt các sản phẩm máy móc cầu đường và xây dựng công nghiệp","26,00%","26,00%","26,00%","26,00%",,,,0.26,0.26,0.26,0.26
3,1 > 3,3,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,"Lô B5, Khu Công nghiệp Trà Kha, Phường Bạc Liêu, Tỉnh Cà Mau, Việt Nam","Sản xuất và kinh doanh bia, rượu và nước giải khát","17,26%","20,00%","16,89%","20,00%",,,,0.1726,0.2,0.1689,0.2
