row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,12.825.623.720.000,760.819.802.040,8.007.183.330.712,21.593.626.852.752,12825623720000.0,760819802040.0,8007183330712.0,21593626852752.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.252.730.062.549,4.252.730.062.549,,,4252730062549.0,4252730062549.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,(5.130.249.488.000),(5.130.249.488.000),,,-5130249488000.0,-5130249488000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(38.075.000.000),(38.075.000.000),,,-38075000000.0,-38075000000.0
"Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,1.785.186.648,1.785.186.648,,,1785186648.0,1785186648.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(21.000.000.000),(21.000.000.000),,,-21000000000.0,-21000000000.0
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,12.825.623.720.000,760.819.802.040,7.072.374.091.909,20.658.817.613.949,12825623720000.0,760819802040.0,7072374091909.0,20658817613949.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.263.280.469.683,4.263.280.469.683,,,4263280469683.0,4263280469683.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,(6.412.811.860.000),(6.412.811.860.000),,,-6412811860000.0,-6412811860000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(44.773.760.961),(44.773.760.961),,,-44773760961.0,-44773760961.0
"Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(4.753.414.608),(4.753.414.608),,,-4753414608.0,-4753414608.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(20.043.485.073),(20.043.485.073),,,-20043485073.0,-20043485073.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,12.825.623.720.000,760.819.802.040,4.853.272.040.950,18.439.715.562.990,12825623720000.0,760819802040.0,4853272040950.0,18439715562990.0
