row_label_raw,row_label_full,col_0,Quyền sử dụng đấtchờ bàn giao (*)VND,Công cụ vàdụng cụ vàchi phí khácVND,TổngVND,numeric__Quyền sử dụng đấtchờ bàn giao (*)VND,numeric__Công cụ vàdụng cụ vàchi phí khácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,51.602.316.000,13.630.583.968,65.232.899.968,51602316000.0,13630583968.0,65232899968.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,304.959.253,304.959.253,,304959253.0,304959253.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,9.448.129.448,9.448.129.448,,9448129448.0,9448129448.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,-,(10.747.687.481),(10.747.687.481),,-10747687481.0,-10747687481.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,51.602.316.000,12.635.985.188,64.238.301.188,51602316000.0,12635985188.0,64238301188.0
