row_label_raw,row_label_full,Tên công ty,31/12/2025 > Giá gốc VND,31/12/2025 > Giá trị hợp lý VND,31/12/2025 > Dự phòng VND,1/1/2025 > Giá gốc VND,1/1/2025 > Giá trị hợp lý VND,1/1/2025 > Dự phòng VND,numeric__31/12/2025 > Giá gốc VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > Dự phòng VND,numeric__1/1/2025 > Giá gốc VND,numeric__1/1/2025 > Giá trị hợp lý VND,numeric__1/1/2025 > Dự phòng VND
▪ Ngân hàng Thương mại Cổ phần Đông Á (**),▪ Ngân hàng Thương mại Cổ phần Đông Á (**),▪ Ngân hàng Thương mại Cổ phần Đông Á (**),136.265.460.000,(*),(136.265.460.000),136.265.460.000,(*),(136.265.460.000),136265460000.0,,-136265460000.0,136265460000.0,,-136265460000.0
▪ Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,▪ Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,▪ Công ty Cổ phần Tập đoàn Bao bì Sài Gòn,46.000.000.000,(*),-,46.000.000.000,(*),(3.152.549.322),46000000000.0,,,46000000000.0,,-3152549322.0
▪ Công ty Cổ phần PVI,▪ Công ty Cổ phần PVI,▪ Công ty Cổ phần PVI,51.475.140.000,45.152.802.000,(6.322.338.000),51.475.140.000,29.616.354.000,(21.858.786.000),51475140000.0,45152802000.0,-6322338000.0,51475140000.0,29616354000.0,-21858786000.0
▪ Công ty Cổ phần Du lịch Đầu khí Phương Đông,▪ Công ty Cổ phần Du lịch Đầu khí Phương Đông,▪ Công ty Cổ phần Du lịch Đầu khí Phương Đông,30.700.950.000,7.486.710.000,(30.700.950.000),30.700.950.000,7.538.160.000,(30.700.950.000),30700950000.0,7486710000.0,-30700950000.0,30700950000.0,7538160000.0,-30700950000.0
▪ Quỹ đầu tư Chứng khoán Sài Gòn A2,▪ Quỹ đầu tư Chứng khoán Sài Gòn A2,▪ Quỹ đầu tư Chứng khoán Sài Gòn A2,35.757.720.722,(*),(35.757.720.722),35.757.720.722,(*),(35.757.720.722),35757720722.0,,-35757720722.0,35757720722.0,,-35757720722.0
▪ Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,▪ Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,▪ Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,26.588.267.394,(*),-,26.588.267.394,(*),-,26588267394.0,,,26588267394.0,,
▪ Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,▪ Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,▪ Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,-,-,-,126.429.237.491,255.553.866.300,-,,,,126429237491.0,255553866300.0,
▪ Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,▪ Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,▪ Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,19.690.000.000,(*),-,19.690.000.000,(*),-,19690000000.0,,,19690000000.0,,
▪ Công ty Cổ phần Chứng khoán Đại Việt,▪ Công ty Cổ phần Chứng khoán Đại Việt,▪ Công ty Cổ phần Chứng khoán Đại Việt,45.000.000.000,(*),(45.000.000.000),45.000.000.000,(*),(45.000.000.000),45000000000.0,,-45000000000.0,45000000000.0,,-45000000000.0
▪ Công ty TNHH Đầu tư Sabeco HP,▪ Công ty TNHH Đầu tư Sabeco HP,▪ Công ty TNHH Đầu tư Sabeco HP,24.426.586.800,(*),(24.426.586.800),24.426.586.800,(*),(24.426.586.800),24426586800.0,,-24426586800.0,24426586800.0,,-24426586800.0
▪ Công ty Cổ phần Bia Sài Gòn - Đồng Nai,▪ Công ty Cổ phần Bia Sài Gòn - Đồng Nai,▪ Công ty Cổ phần Bia Sài Gòn - Đồng Nai,3.954.000.000,(*),(3.954.000.000),3.954.000.000,(*),(3.954.000.000),3954000000.0,,-3954000000.0,3954000000.0,,-3954000000.0
,,,419.858.124.916,,(282.427.055.522),546.287.362.407,,(301.116.052.844),419858124916.0,,-282427055522.0,546287362407.0,,-301116052844.0
