row_label_raw,row_label_full,col_0,VNDGiá trị hợp lýtại ngày mua,numeric__VNDGiá trị hợp lýtại ngày mua
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,
Tiền và các khoản tương đương tiền,Tài sản ngắn hạn > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,247.992.971,247992971.0
Trả trước cho người bán ngắn hạn,Tài sản ngắn hạn > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,12.050.084.478,12050084478.0
Phải thu ngắn hạn khác,Tài sản ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,224.653.616.769,224653616769.0
Hàng tồn kho,Tài sản ngắn hạn > Hàng tồn kho,Hàng tồn kho,31.374.595.267,31374595267.0
Thuế GTGT được khấu trừ,Tài sản ngắn hạn > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,6.031.683.806,6031683806.0
Thuế và các khoản phải thu Nhà nước,Tài sản ngắn hạn > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,205.624.197,205624197.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,
Tài sản cố định hữu hình,Tài sản dài hạn > Tài sản cố định hữu hình,Tài sản cố định hữu hình,305.332.402,305332402.0
Chi phí trả trước dài hạn,Tài sản dài hạn > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,13.823.594.177,13823594177.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,3.994.990.013,3994990013.0
Phải trả người lao động,Nợ phải trả > Phải trả người lao động,Phải trả người lao động,77.272.727,77272727.0
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,29.642.125.025,29642125025.0
Vay ngắn hạn,Nợ phải trả > Vay ngắn hạn,Vay ngắn hạn,5.888.338.141,5888338141.0
Tổng giá trị hợp lý của tài sản thuần của công ty con,Nợ phải trả > Tổng giá trị hợp lý của tài sản thuần của công ty con,Tổng giá trị hợp lý của tài sản thuần của công ty con,249.089.798.161,249089798161.0
Phần giá trị hợp lý của tài sản thuần Tập đoàn mua thêm,Nợ phải trả > Phần giá trị hợp lý của tài sản thuần Tập đoàn mua thêm,Phần giá trị hợp lý của tài sản thuần Tập đoàn mua thêm,122.054.001.099,122054001099.0
Giá mua,Nợ phải trả > Giá mua,Giá mua,170.000.000.000,170000000000.0
Lỗ từ mua thêm phần sở hữu công ty con được ghi nhận vào (lỗ) lợi nhuận sau thuế chưa phân phối trong năm trên vốn chủ sở hữu,Nợ phải trả > Lỗ từ mua thêm phần sở hữu công ty con được ghi nhận vào (lỗ) lợi nhuận sau thuế chưa phân phối trong năm trên vốn chủ sở hữu,Lỗ từ mua thêm phần sở hữu công ty con được ghi nhận vào (lỗ) lợi nhuận sau thuế chưa phân phối trong năm trên vốn chủ sở hữu,(47.945.998.901),-47945998901.0
Thông tin lưu chuyển tiền tệ từ việc mua thêm phần sở hữu trong công ty con,Thông tin lưu chuyển tiền tệ từ việc mua thêm phần sở hữu trong công ty con,Thông tin lưu chuyển tiền tệ từ việc mua thêm phần sở hữu trong công ty con,Thông tin lưu chuyển tiền tệ từ việc mua thêm phần sở hữu trong công ty con,
Tiền đã thanh toán cho việc mua thêm phần sở hữu công ty con,Thông tin lưu chuyển tiền tệ từ việc mua thêm phần sở hữu trong công ty con > Tiền đã thanh toán cho việc mua thêm phần sở hữu công ty con,Tiền đã thanh toán cho việc mua thêm phần sở hữu công ty con,170.000.000.000,170000000000.0
Khoản tiền thuần chi ra từ mua thêm phần sở hữu công ty con(báo cáo lưu chuyển tiền tệ hợp nhất),Thông tin lưu chuyển tiền tệ từ việc mua thêm phần sở hữu trong công ty con > Khoản tiền thuần chi ra từ mua thêm phần sở hữu công ty con(báo cáo lưu chuyển tiền tệ hợp nhất),Khoản tiền thuần chi ra từ mua thêm phần sở hữu công ty con(báo cáo lưu chuyển tiền tệ hợp nhất),170.000.000.000,170000000000.0
