row_label_raw,row_label_full,STT,Tên công ty con,Trụ sở chính,Hoạt động chính,Tình trạng,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022_1,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021_1,numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__Tình trạng,numeric__Ngày 31 tháng 12 năm 2022,numeric__Ngày 31 tháng 12 năm 2022_1,numeric__Ngày 31 tháng 12 năm 2021,numeric__Ngày 31 tháng 12 năm 2021_1
STT,STT,STT,Tên công ty con,Trụ sở chính,Hoạt động chính,Tình trạng,Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),,,,,,,,
II,II,II,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,,,,
1.,II > 1.,1.,Công ty Cổ phần Đầu tư và Phát triển Hòa Yên,Tỉnh Phú Yên,Đầu tư các dự án xây dựng công trình giao thông,Đang hoạt động,"97,53","99,55","97,53","99,55",,,,,97.53,99.55,97.53,99.55
2.,II > 2.,2.,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Thành phố Hồ Chí Minh,Sản xuất; mua bán; gia công và lắp đặt hàng mộc gia dụng; hàng trang trí nội thất,Đang hoạt động,"97,30","99,31","97,30","99,31",,,,,97.3,99.31,97.3,99.31
3.,II > 3.,3.,Công ty Cổ phần Đầu tư và Năng lượng Tái tạo Hòa Bình,Thành phố Hồ Chí Minh,Mua bán vật liệu xây dựng; hàng trang trí nội thất; xúc tiến thương mại; đại lý ký gửi hàng hóa; dịch vụ quảng cáo; lắp đặt và gia công hàng trang trí nội thất,Đang hoạt động,"66,89","68,27","66,89","68,27",,,,,66.89,68.27,66.89,68.27
4.,II > 4.,4.,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Thành phố Hồ Chí Minh,Kinh doanh bất động sản và quyền sử dụng đất và xây dựng nhà các loại,Đang hoạt động,"99,78","99,83","99,78","99,83",,,,,99.78,99.83,99.78,99.83
5.,II > 5.,5.,Công ty Cổ phần Bất Động Sản Okamura Sanyo,Thành phố Hồ Chí Minh,Tư vấn; quản lý và môi giới bắt động sản,Đang hoạt động,"50,55","50,57","50,55","50,57",,,,,50.55,50.57,50.55,50.57
6.,II > 6.,6.,Công ty TNHH Sài Gòn Ngày Môi,Thành phố Hồ Chí Minh,Kinh doanh phát triển các dự án bắt động sản,Đang hoạt động,"99,74",100,"84,81","85,00",,,,,99.74,100.0,84.81,85.0
7.,II > 7.,7.,Công ty Cổ phần Tiến Phát Sanyo Homes,Thành phố Hồ Chí Minh,Kinh doanh bất động sản và quyền sử dụng đất,Đang hoạt động,"99,36","99,58","99,36","99,58",,,,,99.36,99.58,99.36,99.58
8.,II > 8.,8.,Công ty Cổ phần Tiến Phát Tân Thuận,Thành phố Hồ Chí Minh,Kinh doanh bất động sản và quyền sử dụng đất,Đang hoạt động,"99,24","99,49","50,38","50,49",,,,,99.24,99.49,50.38,50.49
