row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18),numeric__VND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 18)
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Chi phí thầu phụ,40.919.241.098,10.717.819,,40919241098.0,10717819.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí thầu phụ,36.658.224.002,20.542.604.019,,36658224002.0,20542604019.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Chi phí thầu phụ,5.220.086.092,293.892.493,,5220086092.0,293892493.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,82.797.551.192,20.847.214.331,,82797551192.0,20847214331.0
Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),Chi phí phải trả ngắn hạn (Thuyết minh số 21),,,
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Chi phí thầu phụ,15.361.828.751,21.669.275.726,,15361828751.0,21669275726.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí thầu phụ,13.298.332.557,72.266.363.767,,13298332557.0,72266363767.0
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Chi phí thầu phụ,5.270.203.545,6.645.214.972,,5270203545.0,6645214972.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,,33.930.364.853,100.580.854.465,,33930364853.0,100580854465.0
Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),,,
Võ Minh Hoàng,Phải trả ngắn hạn khác (Thuyết minh số 22) > Võ Minh Hoàng,Võ Minh Hoàng,Vay,1.417.911.700,-,,1417911700.0,
