row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,Phân bổ chi phí phát hành trái phiếu,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__Phân bổ chi phí phát hành trái phiếu,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,4.699.157.027.452,9.604.797.287.657,(9.241.928.347.253),42.284.488.258,-,5.104.310.456.114,4699157027452.0,9604797287657.0,-9241928347253.0,42284488258.0,,5104310456114.0
Vay ngắn hạn từ ngân hàng (Thuyết minh số 23.1),Vay ngắn hạn từ ngân hàng (Thuyết minh số 23.1),Vay ngắn hạn từ ngân hàng (Thuyết minh số 23.1),4.601.688.516.377,9.604.797.287.657,(9.147.683.658.658),-,-,5.058.802.145.376,4601688516377.0,9604797287657.0,-9147683658658.0,,,5058802145376.0
Vay dài hạn từ ngân hàng đến hạn trả (Thuyết minh số 23.3),Vay dài hạn từ ngân hàng đến hạn trả (Thuyết minh số 23.3),Vay dài hạn từ ngân hàng đến hạn trả (Thuyết minh số 23.3),93.533.585.731,-,(93.533.585.731),41.573.385.442,-,41.573.385.442,93533585731.0,,-93533585731.0,41573385442.0,,41573385442.0
Vay bên khác (Thuyết minh số 23.2),Vay bên khác (Thuyết minh số 23.2),Vay bên khác (Thuyết minh số 23.2),3.223.822.480,-,-,-,-,3.223.822.480,3223822480.0,,,,,3223822480.0
Vay dài hạn từ bên khác đến hạn trả (Thuyết minh số 23.4),Vay dài hạn từ bên khác đến hạn trả (Thuyết minh số 23.4),Vay dài hạn từ bên khác đến hạn trả (Thuyết minh số 23.4),711.102.864,-,(711.102.864),711.102.816,-,711.102.816,711102864.0,,-711102864.0,711102816.0,,711102816.0
Dài hạn,Dài hạn,Dài hạn,398.467.650.604,793.034.664.000,(141.939.079.221),(42.284.488.258),19.309.333.333,1.026.588.080.458,398467650604.0,793034664000.0,-141939079221.0,-42284488258.0,19309333333.0,1026588080458.0
Vay dài hạn từ ngân hàng (Thuyết minh số 23.3),Vay dài hạn từ ngân hàng (Thuyết minh số 23.3),Vay dài hạn từ ngân hàng (Thuyết minh số 23.3),104.510.328.236,16.666.664.000,(17.478.012.553),(41.573.385.442),-,62.125.594.241,104510328236.0,16666664000.0,-17478012553.0,-41573385442.0,,62125594241.0
Vay bên khác (Thuyết minh số 23.4),Vay bên khác (Thuyết minh số 23.4),Vay bên khác (Thuyết minh số 23.4),3.957.322.368,-,(461.066.668),(711.102.816),-,2.785.152.884,3957322368.0,,-461066668.0,-711102816.0,,2785152884.0
Trái phiếu (Thuyết minh số 23.5),Trái phiếu (Thuyết minh số 23.5),Trái phiếu (Thuyết minh số 23.5),290.000.000.000,776.368.000.000,(124.000.000.000),-,19.309.333.333,961.677.333.333,290000000000.0,776368000000.0,-124000000000.0,,19309333333.0,961677333333.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.097.624.678.056,10.397.831.951.657,(9.383.867.426.474),-,19.309.333.333,6.130.898.536.572,5097624678056.0,10397831951657.0,-9383867426474.0,,19309333333.0,6130898536572.0
