row_label_raw,row_label_full,Vietnam Peace Tour Joint Stock Company,Số đầu năm > 237.239.174,Dự phòng trích lập trong năm > 5.075.060.246,Hoàn nhập dự phòng trong năm > -,VND Số cuối năm > 5.312.299.420,numeric__Số đầu năm > 237.239.174,numeric__Dự phòng trích lập trong năm > 5.075.060.246,numeric__Hoàn nhập dự phòng trong năm > -,numeric__VND Số cuối năm > 5.312.299.420
Sai Gon - Rach Gia Corporation,Sai Gon - Rach Gia Corporation,Sai Gon - Rach Gia Corporation,10.755.275.990,399.481.407,-,11.154.757.397,10755275990.0,399481407.0,,11154757397.0
Binh An Plaza project,Binh An Plaza project,Binh An Plaza project,11.833.130.000,-,(11.833.130.000),-,11833130000.0,,-11833130000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,22.825.645.164,5.474.541.653,(11.833.130.000),16.467.056.817,22825645164.0,5474541653.0,-11833130000.0,16467056817.0
