row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,VND,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__VND
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,VND,,,,,
Công ty Cổ phần Du lịch Hòa Bình (i),Công ty Cổ phần Du lịch Hòa Bình (i),Công ty Cổ phần Du lịch Hòa Bình (i),21.405.000.000,(5.312.299.420),21.405.000.000,(237.239.174),,21405000000.0,-5312299420.0,21405000000.0,-237239174.0,
Công ty Cổ phần Sài Gòn – Rạch Giá (ii),Công ty Cổ phần Sài Gòn – Rạch Giá (ii),Công ty Cổ phần Sài Gòn – Rạch Giá (ii),13.637.400.000,(11.154.757.397),13.637.400.000,(10.755.275.990),,13637400000.0,-11154757397.0,13637400000.0,-10755275990.0,
Công ty Cổ phần Jesco Asia (iii),Công ty Cổ phần Jesco Asia (iii),Công ty Cổ phần Jesco Asia (iii),4.185.000.000,-,4.185.000.000,-,,4185000000.0,,4185000000.0,,
Công ty Cổ phần Tập đoàn Đầu tư TRV Holding (iv),Công ty Cổ phần Tập đoàn Đầu tư TRV Holding (iv),Công ty Cổ phần Tập đoàn Đầu tư TRV Holding (iv),1.200.000.000,-,-,-,,1200000000.0,,,,
Dự án Bình An Plaza,Dự án Bình An Plaza,Dự án Bình An Plaza,-,-,23.666.260.000,(11.833.130.000),,,,23666260000.0,-11833130000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40.427.400.000,(16.467.056.817),62.893.660.000,(22.825.645.164),,40427400000.0,-16467056817.0,62893660000.0,-22825645164.0,
