row_label_raw,row_label_full,col_0,VNDGiá trị ghi số tại ngày bán,numeric__VNDGiá trị ghi số tại ngày bán
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,
Tiền,Tài sản ngắn hạn > Tiền,Tiền,117.070.064,117070064.0
Trả trước cho người bán ngắn hạn,Tài sản ngắn hạn > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,5.317.179.990,5317179990.0
Phải thu ngắn hạn khác,Tài sản ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,363.730.370,363730370.0
Hàng tồn kho,Tài sản ngắn hạn > Hàng tồn kho,Hàng tồn kho,109.724.294.005,109724294005.0
Chi phí trả trước ngắn hạn,Tài sản ngắn hạn > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,375.046.490,375046490.0
Thuế GTGT được khấu trừ,Tài sản ngắn hạn > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,579.071.650,579071650.0
Chênh lệch đánh giá lại,Tài sản ngắn hạn > Chênh lệch đánh giá lại,Chênh lệch đánh giá lại,110.923.165.361,110923165361.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,
Phải trả người lao động,Nợ phải trả ngắn hạn > Phải trả người lao động,Phải trả người lao động,72.500.000,72500000.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả ngắn hạn > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,33.222.236.904,33222236904.0
Tổng giá trị ghi số của tài sản thuần của công ty con,Nợ phải trả ngắn hạn > Tổng giá trị ghi số của tài sản thuần của công ty con,Tổng giá trị ghi số của tài sản thuần của công ty con,194.104.821.026,194104821026.0
Phần sở hữu của Tập đoàn trong tổng giá trị ghi số của tài sản thuần của công ty con,Nợ phải trả ngắn hạn > Phần sở hữu của Tập đoàn trong tổng giá trị ghi số của tài sản thuần của công ty con,Phần sở hữu của Tập đoàn trong tổng giá trị ghi số của tài sản thuần của công ty con,194.104.821.026,194104821026.0
Giá chuyển nhượng,Nợ phải trả ngắn hạn > Giá chuyển nhượng,Giá chuyển nhượng,193.387.000.000,193387000000.0
Lỗ thanh lý công ty con được ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Nợ phải trả ngắn hạn > Lỗ thanh lý công ty con được ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Lỗ thanh lý công ty con được ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhất,(717.821.025),-717821025.0
Thông tin lưu chuyển tiền tệ từ việc thoái vốn tại công ty con,Thông tin lưu chuyển tiền tệ từ việc thoái vốn tại công ty con,Thông tin lưu chuyển tiền tệ từ việc thoái vốn tại công ty con,Thông tin lưu chuyển tiền tệ từ việc thoái vốn tại công ty con,
Tiền thu về từ thoái vốn công ty con,Tiền thu về từ thoái vốn công ty con,Tiền thu về từ thoái vốn công ty con,-,
Số dư tiền của công ty con tại ngày thoái vốn,Tiền thu về từ thoái vốn công ty con > Số dư tiền của công ty con tại ngày thoái vốn,Số dư tiền của công ty con tại ngày thoái vốn,117.070.064,117070064.0
Khoản tiền thuần chi ra từ thanh lý công ty con(báo cáo lưu chuyển tiền tệ hợp nhất),Tiền thu về từ thoái vốn công ty con > Khoản tiền thuần chi ra từ thanh lý công ty con(báo cáo lưu chuyển tiền tệ hợp nhất),Khoản tiền thuần chi ra từ thanh lý công ty con(báo cáo lưu chuyển tiền tệ hợp nhất),117.070.064,117070064.0
