row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,42.297.185.783,29.301.951.728,1.216.005.358,72.815.142.869,42297185783.0,29301951728.0,1216005358.0,72815142869.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,1.120.689.000,-,1.120.689.000,,1120689000.0,,1120689000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,42.297.185.783,30.422.640.728,1.216.005.358,73.935.831.869,42297185783.0,30422640728.0,1216005358.0,73935831869.0
Trong đó: Đã hao mòn hết,Nguyên giá > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,18.156.081.728,1.216.005.358,19.372.087.086,,18156081728.0,1216005358.0,19372087086.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(18.387.955.388),(1.216.005.358),(19.603.960.746),,-18387955388.0,-1216005358.0,-19603960746.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(4.177.169.347),-,(4.177.169.347),,-4177169347.0,,-4177169347.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(22.565.124.735),(1.216.005.358),(23.781.130.093),,-22565124735.0,-1216005358.0,-23781130093.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,42.297.185.783,10.913.996.340,-,53.211.182.123,42297185783.0,10913996340.0,,53211182123.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,42.297.185.783,7.857.515.993,-,50.154.701.776,42297185783.0,7857515993.0,,50154701776.0
Tài sản sử dụng để thế chấp (Thuyết minh số 23.1),Giá trị còn lại > Tài sản sử dụng để thế chấp (Thuyết minh số 23.1),Tài sản sử dụng để thế chấp (Thuyết minh số 23.1),39.790.252.840,-,-,39.790.252.840,39790252840.0,,,39790252840.0
