row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.308.753.980.000,346.669.112.981,56.445.099,96.807.642.300,846.358.730.005,549.378.676.292,4.148.024.586.677,2308753980000.0,346669112981.0,56445099.0,96807642300.0,846358730005.0,549378676292.0,4148024586677.0
Chia cổ tức bằng cổ phiếu,Năm trước > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,115.403.860.000,-,-,-,(115.403.860.000),-,-,115403860000.0,,,,-115403860000.0,,
Chi cổ tức bằng tiền,Năm trước > Chi cổ tức bằng tiền,Chi cổ tức bằng tiền,-,-,-,-,-,(199.886.346),(199.886.346),,,,,,-199886346.0,-199886346.0
Trích lập các quỹ,Năm trước > Trích lập các quỹ,Trích lập các quỹ,-,-,-,24.837.138,(24.837.138),-,-,,,,24837138.0,-24837138.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(10.094.716.766),-,(10.094.716.766),,,,,-10094716766.0,,-10094716766.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,102.964.490.780,(5.994.538.234),96.969.952.546,,,,,102964490780.0,-5994538234.0,96969952546.0
Thay đổi tỷ lệ sở hữu trong năm,Năm trước > Thay đổi tỷ lệ sở hữu trong năm,Thay đổi tỷ lệ sở hữu trong năm,-,-,-,-,(3.927.373.359),-,(3.927.373.359),,,,,-3927373359.0,,-3927373359.0
Khác,Năm trước > Khác,Khác,-,-,-,-,(26.864.565.684),(147.380.228.583),(174.244.794.267),,,,,-26864565684.0,-147380228583.0,-174244794267.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.424.157.840.000,346.669.112.981,56.445.099,96.832.479.438,793.007.867.838,395.804.023.129,4.056.527.768.485,2424157840000.0,346669112981.0,56445099.0,96832479438.0,793007867838.0,395804023129.0,4056527768485.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.424.157.840.000,346.669.112.981,56.445.099,96.832.479.438,793.007.867.838,395.804.023.129,4.056.527.768.485,2424157840000.0,346669112981.0,56445099.0,96832479438.0,793007867838.0,395804023129.0,4056527768485.0
Chia cổ tức bằng cổ phiếu (*),Năm nay > Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),171.874.160.000,-,-,-,(171.874.160.000),-,-,171874160000.0,,,,-171874160000.0,,
Chi cổ tức bằng tiền,Năm nay > Chi cổ tức bằng tiền,Chi cổ tức bằng tiền,-,-,-,-,(73.696.306.200),-,(73.696.306.200),,,,,-73696306200.0,,-73696306200.0
Phát hành cổ phiếu mới (*),Năm nay > Phát hành cổ phiếu mới (*),Phát hành cổ phiếu mới (*),145.300.700.000,112.500.000.000,-,-,-,-,257.800.700.000,145300700000.0,112500000000.0,,,,,257800700000.0
Chi phí phát hành cổ phiếu,Năm nay > Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(200.000.000),-,-,-,-,(200.000.000),,-200000000.0,,,,,-200000000.0
Trích lập các quỹ,Năm nay > Trích lập các quỹ,Trích lập các quỹ,-,-,-,4.363.034,(4.363.034),-,-,,,,4363034.0,-4363034.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(8.726.069),-,(8.726.069),,,,,-8726069.0,,-8726069.0
