row_label_raw,row_label_full,col_0,VNDGiá trị,numeric__VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,58.482.462.496,58482462496.0
Mua công ty con,Nguyên giá > Mua công ty con,Mua công ty con,3.414.055.822,3414055822.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,61.896.518.318,61896518318.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,(34.425.536.409),-34425536409.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(6.819.939.059),-6819939059.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,(41.245.475.468),-41245475468.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,24.056.926.087,24056926087.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,20.651.042.850,20651042850.0
