row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > Khoản vay 1,Số cuối năm(VND) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > 785.594.560,Ngày đáo hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > Từ ngày 1 tháng 3 năm 2023 đến ngày 17 tháng 1 năm 2025,Lãi suất > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > Lãi suất áp dụng theo từng lần giải ngân,Tài sản đảm bảo(Thuyết minh số 13) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > Tất cả tài sản hình thành từ khoản vay,numeric__Số cuối năm(VND) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > 785.594.560,numeric__Ngày đáo hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > Từ ngày 1 tháng 3 năm 2023 đến ngày 17 tháng 1 năm 2025,numeric__Lãi suất > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > Lãi suất áp dụng theo từng lần giải ngân,numeric__Tài sản đảm bảo(Thuyết minh số 13) > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chí nhánh Tây Sài Gòn > Tất cả tài sản hình thành từ khoản vay
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,392.797.309,,,,392797309.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,392.797.251,,,,392797251.0,,,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,103.698.979.683,,,,103698979683.0,,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,41.573.385.442,,,,41573385442.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,62.125.594.241,,,,62125594241.0,,,
