row_label_raw,row_label_full,STT,Tên công ty liên kết,Trụ sở chính,Hoạt động chính,Tình trạng,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022_1,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021_1,numeric__Tên công ty liên kết,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__Tình trạng,numeric__Ngày 31 tháng 12 năm 2022,numeric__Ngày 31 tháng 12 năm 2022_1,numeric__Ngày 31 tháng 12 năm 2021,numeric__Ngày 31 tháng 12 năm 2021_1
STT,STT,STT,Tên công ty liên kết,Trụ sở chính,Hoạt động chính,Tình trạng,Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),,,,,,,,
III.,III.,III.,Công ty liên kết,,,,,,,,,,,,,,,
1.,III. > 1.,1.,Công ty Cổ phần 479 Hòa Bình,Tỉnh Nghệ An,Xây dựng công trình đường sắt và đường bộ,Đang hoạt động,"49,25","49,25","49,25","49,25",,,,,49.25,49.25,49.25,49.25
2.,III. > 2.,2.,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Thành phố Hồ Chí Minh,"Thi công lắp đặt trang thiết bị công trình xây dựng hệ thống điện nước, phòng cháy chữa cháy, hệ thống làm lạnh",Ngưng hoạt động,"47,82","47,82","47,82","47,82",,,,,47.82,47.82,47.82,47.82
3.,III. > 3.,3.,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Thành phố Hồ Chí Minh,"Trang trí nội thất, sản xuất vật liệu xây dựng (cửa nhôm), san lắp mặt bằng và mua bán vật tư xây dựng",Ngưng hoạt động,"49,10","49,10","49,10","49,10",,,,,49.1,49.1,49.1,49.1
4.,III. > 4.,4.,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Thành phố Hồ Chí Minh,"Cung cấp dịch vụ trang trí nội thất, mua bán vật liệu và thiết bị lắp đặt trong xây dựng",Đang hoạt động,"25,53","25,53","25,53","25,53",,,,,25.53,25.53,25.53,25.53
