row_label_raw,row_label_full,Chi phí thuế TNDN năm nay,Năm nay > 1.253.901.177,VNDNăm trước > 35.984.869.131,numeric__Năm nay > 1.253.901.177,numeric__VNDNăm trước > 35.984.869.131
Lỗ lũy kế,Lỗ lũy kế,Lỗ lũy kế,1.977.911.390,-,1977911390.0,
Điều chỉnh thuế TNDN trích thiếu trong những năm trước,Điều chỉnh thuế TNDN trích thiếu trong những năm trước,Điều chỉnh thuế TNDN trích thiếu trong những năm trước,574.254.915,4.015.018.051,574254915.0,4015018051.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,3.806.067.482,39.999.887.182,3806067482.0,39999887182.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,232.728.899.426,11.594.455.084,232728899426.0,11594455084.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,236.534.966.908,51.594.342.266,236534966908.0,51594342266.0
