row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,383.055.537.213,518.101.563.203,383055537213.0,518101563203.0
"Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược",282.825.643.780,467.797.769.617,282825643780.0,467797769617.0
Chuyển nhượng cổ phần Tiến Phát,Chuyển nhượng cổ phần Tiến Phát,Chuyển nhượng cổ phần Tiến Phát,,,,
Sanyo Homes,Chuyển nhượng cổ phần Tiến Phát > Sanyo Homes,Sanyo Homes,48.000.000.000,-,48000000000.0,
Thu hộ phí bảo trì các dự án,Chuyển nhượng cổ phần Tiến Phát > Thu hộ phí bảo trì các dự án,Thu hộ phí bảo trì các dự án,17.930.765.443,-,17930765443.0,
Lãi phạt thanh lý,Chuyển nhượng cổ phần Tiến Phát > Lãi phạt thanh lý,Lãi phạt thanh lý,15.194.242.422,-,15194242422.0,
Thường Ban Điều hành và cán bộ chủ chốt,Chuyển nhượng cổ phần Tiến Phát > Thường Ban Điều hành và cán bộ chủ chốt,Thường Ban Điều hành và cán bộ chủ chốt,-,26.870.306.672,,26870306672.0
Khác,Chuyển nhượng cổ phần Tiến Phát > Khác,Khác,19.104.885.568,23.433.486.914,19104885568.0,23433486914.0
Dài hạn,Chuyển nhượng cổ phần Tiến Phát > Dài hạn,Dài hạn,38.678.800.466,36.792.552.009,38678800466.0,36792552009.0
"Các khoản ký quỹ, ký cược","Chuyển nhượng cổ phần Tiến Phát > Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược",36.416.881.336,36.753.272.009,36416881336.0,36753272009.0
Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Chuyển nhượng cổ phần Tiến Phát > Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,Thủ lao thành viên Hội đồng Quản trị và Ban Kiểm soát,2.222.639.130,-,2222639130.0,
Khác,Chuyển nhượng cổ phần Tiến Phát > Khác,Khác,39.280.000,39.280.000,39280000.0,39280000.0
TỔNG CỘNG,Chuyển nhượng cổ phần Tiến Phát > TỔNG CỘNG,TỔNG CỘNG,421.734.337.679,554.894.115.212,421734337679.0,554894115212.0
