row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,Công ty TNHH Một Thành Viên Tôn Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,9.053.226.500.894,10.277.637.796.063,9053226500894.0,10277637796063.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,9.531.890.292.386,11.771.372.054.729,9531890292386.0,11771372054729.0
Điều chuyển/bán tài sản cố định,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Điều chuyển/bán tài sản cố định,Điều chuyển/bán tài sản cố định,11.701.050.819,205.664.635,11701050819.0,205664635.0
Hàng bán bị trả lại,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,2.448.818.788,-,2448818788.0,
Trả lại hàng mua,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Trả lại hàng mua,Trả lại hàng mua,-,297.325.320,,297325320.0
Lợi nhuận được chia,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Lợi nhuận được chia,Lợi nhuận được chia,12.308.639.166,8.123.622.505,12308639166.0,8123622505.0
Chi hộ,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Chi hộ,Chi hộ,148.988.924.860,130.869.456.620,148988924860.0,130869456620.0
Bán khác,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Bán khác,Bán khác,418.584.100,2.548.006.364,418584100.0,2548006364.0
Mua khác,Công ty TNHH Một Thành Viên Tôn Hoa Sen > Mua khác,Mua khác,-,144.292.898,,144292898.0
