row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,484.279.957.658,2.575.795.898.450,251.837.862.111,57.636.709.093,20.737.819.422,3.390.288.246.734,484279957658.0,2575795898450.0,251837862111.0,57636709093.0,20737819422.0,3390288246734.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,126.395.074,4.945.837.257,2.093.459.843,102.500.000,-,7.268.192.174,126395074.0,4945837257.0,2093459843.0,102500000.0,,7268192174.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,13.622.091.648,667.335.340,-,-,14.289.426.988,,13622091648.0,667335340.0,,,14289426988.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,-,34.811.956.367,18.636.363.636,-,53.448.320.003,,,34811956367.0,18636363636.0,,53448320003.0
Phân loại từ chi phí trả trước dài hạn,Nguyên giá > Phân loại từ chi phí trả trước dài hạn,Phân loại từ chi phí trả trước dài hạn,-,535.510.031,-,-,-,535.510.031,,535510031.0,,,,535510031.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(20.124.689.318),(2.196.974.581),-,-,(22.321.663.899),,-20124689318.0,-2196974581.0,,,-22321663899.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(50.872.318.257),(370.000.000),-,-,(51.242.318.257),,-50872318257.0,-370000000.0,,,-51242318257.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,484.406.352.732,2.523.902.329.811,286.843.639.080,76.375.572.729,20.737.819.422,3.392.265.713.774,484406352732.0,2523902329811.0,286843639080.0,76375572729.0,20737819422.0,3392265713774.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,254.739.126.634,1.518.960.079.406,131.013.517.954,24.659.691.544,19.040.191.328,1.948.412.606.866,254739126634.0,1518960079406.0,131013517954.0,24659691544.0,19040191328.0,1948412606866.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.143.868.214,263.677.388.903,32.966.320.452,7.771.954.016,297.810.031,328.857.341.616,24143868214.0,263677388903.0,32966320452.0,7771954016.0,297810031.0,328857341616.0
Chuyển từ tài sản cố định hữu hình thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình thuê tài chính,Chuyển từ tài sản cố định hữu hình thuê tài chính,-,-,9.510.927.432,3.865.326.067,-,13.376.253.499,,,9510927432.0,3865326067.0,,13376253499.0
Phân loại từ chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Phân loại từ chi phí trả trước dài hạn,Phân loại từ chi phí trả trước dài hạn,-,371.881.966,-,-,-,371.881.966,,371881966.0,,,,371881966.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.382.182.431),(1.022.639.372),-,-,(3.404.821.803),,-2382182431.0,-1022639372.0,,,-3404821803.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(42.441.116.874),(370.000.000),-,-,(42.811.116.874),,-42441116874.0,-370000000.0,,,-42811116874.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,278.882.994.848,1.738.186.050.970,172.098.126.466,36.296.971.627,19.338.001.359,2.244.802.145.270,278882994848.0,1738186050970.0,172098126466.0,36296971627.0,19338001359.0,2244802145270.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,229.540.831.024,1.056.835.819.044,120.824.344.157,32.977.017.549,1.697.628.094,1.441.875.639.868,229540831024.0,1056835819044.0,120824344157.0,32977017549.0,1697628094.0,1441875639868.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,205.523.357.884,785.716.278.841,114.745.512.614,40.078.601.102,1.399.818.063,1.147.463.568.504,205523357884.0,785716278841.0,114745512614.0,40078601102.0,1399818063.0,1147463568504.0
