row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,771.493.515.517,465.422.257.831,771493515517.0,465422257831.0
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,443.895.444.297,342.477.520.100,443895444297.0,342477520100.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,155.050.248.876,149.742.260.035,155050248876.0,149742260035.0
Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,142.049.846.427,135.231.920.322,142049846427.0,135231920322.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,81.026.319.039,104.833.377.549,81026319039.0,104833377549.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,81.662.146.417,96.474.932.596,81662146417.0,96474932596.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,54.927.308.793,44.103.924.195,54927308793.0,44103924195.0
Chi phí khác,Chi phí khác,Chi phí khác,108.736.740.618,114.632.270.547,108736740618.0,114632270547.0
,,,1.838.841.569.984,1.452.918.463.175,1838841569984.0,1452918463175.0
