row_label_raw,row_label_full,col_0,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,13.389.448.333,44.371.956.367,18.636.363.636,76.397.768.336,13389448333.0,44371956367.0,18636363636.0,76397768336.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(34.811.956.367),(18.636.363.636),(53.448.320.003),,-34811956367.0,-18636363636.0,-53448320003.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.389.448.333,9.560.000.000,-,22.949.448.333,13389448333.0,9560000000.0,,22949448333.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,786.263.125,8.229.403.061,2.072.976.338,11.088.642.524,786263125.0,8229403061.0,2072976338.0,11088642524.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,1.793.662.756,3.099.865.781,1.792.349.729,6.685.878.266,1793662756.0,3099865781.0,1792349729.0,6685878266.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(9.510.927.432),(3.865.326.067),(13.376.253.499),,-9510927432.0,-3865326067.0,-13376253499.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.579.925.881,1.818.341.410,-,4.398.267.291,2579925881.0,1818341410.0,,4398267291.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.603.185.208,36.142.553.306,16.563.387.298,65.309.125.812,12603185208.0,36142553306.0,16563387298.0,65309125812.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,10.809.522.452,7.741.658.590,-,18.551.181.042,10809522452.0,7741658590.0,,18551181042.0
