row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,,
Cho vay,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long > Cho vay,Cho vay,35.999.989.000,5.940.000.000,35999989000.0,5940000000.0
Thu nhập từ tiền lãi,Công ty Cổ phần Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long > Thu nhập từ tiền lãi,Thu nhập từ tiền lãi,1.606.428.245,562.772.324,1606428245.0,562772324.0
Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,14.224.724,63.832.107,14224724.0,63832107.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,260.209.760.755,241.520.896.612,260209760755.0,241520896612.0
Mua khác,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Mua khác,Mua khác,77.271.455,-,77271455.0,
Hàng mua được giảm giá,Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái > Hàng mua được giảm giá,Hàng mua được giảm giá,1.449.201,-,1449201.0,
Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,Công ty thuộc sở hữu của Chủ tịch Công ty,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,1.742.673.278.315,2.222.110.174.059,1742673278315.0,2222110174059.0
Mua hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,-,459.762.175.044,,459762175044.0
Bán tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán tài sản cố định,Bán tài sản cố định,-,32.476.307.578,,32476307578.0
Mua tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,-,202.978.077.818,,202978077818.0
Chiết khấu thương mại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chiết khấu thương mại,Chiết khấu thương mại,29.577.829.265,-,29577829265.0,
Hàng bán bị trả lại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Hàng bán bị trả lại,Hàng bán bị trả lại,4.172.697.261,2.098.483.579,4172697261.0,2098483579.0
Doanh thu từ cho thuê tài sản,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,3.149.312.901,4.198.466.388,3149312901.0,4198466388.0
Chi phí vận chuyển,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chi phí vận chuyển,Chi phí vận chuyển,27.137.418.326,41.633.162.447,27137418326.0,41633162447.0
Dịch vụ gia công,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Dịch vụ gia công,Dịch vụ gia công,-,910.242.733,,910242733.0
Bán khác,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán khác,Bán khác,313.695.826,1.138.936.694,313695826.0,1138936694.0
Mua khác,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua khác,Mua khác,14.166.773.152,-,14166773152.0,
Chi phí thuê hoạt động,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chi phí thuê hoạt động,Chi phí thuê hoạt động,8.897.850.106,4.486.071.500,8897850106.0,4486071500.0
Giám giá hàng bán,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Giám giá hàng bán,Giám giá hàng bán,154.727.273,21.245.500,154727273.0,21245500.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,
Lương và thường,Ban Tổng Giám đốc > Lương và thường,Lương và thường,12.502.574.352,12.037.488.915,12502574352.0,12037488915.0
Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,Hội đồng quản trị và Ban kiểm soát,,
Thù lao,Hội đồng quản trị và Ban kiểm soát > Thù lao,Thù lao,2.340.000.000,2.340.000.000,2340000000.0,2340000000.0
