row_label_raw,row_label_full,STT,CHỈ TIÊU,NDTC 2019-2020(từ 01/10/2019đến 30/9/2020),NDTC 2018-2019(từ 01/10/2018đến 30/9/2019),Chênh lệch > Tuyết đối,Chênh lệch > Tương đối,numeric__CHỈ TIÊU,numeric__NDTC 2019-2020(từ 01/10/2019đến 30/9/2020),numeric__NDTC 2018-2019(từ 01/10/2018đến 30/9/2019),numeric__Chênh lệch > Tuyết đối,numeric__Chênh lệch > Tương đối
(1),(1),(1),(2),(3),(4),(5)=(3)-(4),(6)=(5)/(4),-2.0,-3.0,-4.0,,
1,1,1,Doanh thu thuần,44.952.859.030.029,44.770.037.871.198,182.821.158.831,"0,4%",,44952859030029.0,44770037871198.0,182821158831.0,0.004
2,2,2,Giá vốn hàng bán,42.130.019.773.392,42.509.205.331.768,(379.185.558.376),-1%,,42130019773392.0,42509205331768.0,-379185558376.0,-0.01
3,3,3,Lợi nhuận gộp,2.822.839.256.637,2.260.832.539.430,562.006.717.207,25%,,2822839256637.0,2260832539430.0,562006717207.0,0.25
4,4,4,Doanh thu tài chính,882.731.990.749,400.189.675.049,482.542.315.700,121%,,882731990749.0,400189675049.0,482542315700.0,1.21
5,5,5,Chi phí tài chính,372.603.906.385,439.093.531.704,(66.489.625.319),-15%,,372603906385.0,439093531704.0,-66489625319.0,-0.15
,,,Trong đó: Chi phí lãi vay,277.498.364.219,399.146.337.196,(121.647.972.977),-30%,,277498364219.0,399146337196.0,-121647972977.0,-0.3
6,6,6,Chi phí bán hàng,1.838.841.569.984,1.452.918.463.175,385.923.106.809,27%,,1838841569984.0,1452918463175.0,385923106809.0,0.27
7,7,7,Chi phí quản lý doanh nghiệp,268.160.558.053,311.821.718.805,(43.661.160.752),-14%,,268160558053.0,311821718805.0,-43661160752.0,-0.14
8,8,8,Lợi nhuận thuần từ HĐKD,1.225.965.212.964,457.188.500.795,768.776.712.169,168%,,1225965212964.0,457188500795.0,768776712169.0,1.68
9,9,9,Thu nhập khác,19.875.796.975,245.868.531.680,(225.992.734.705),-92%,,19875796975.0,245868531680.0,-225992734705.0,-0.92
10,10,10,Chi phí khác,16.683.262.011,4.540.253.461,12.143.008.550,267%,,16683262011.0,4540253461.0,12143008550.0,2.67
11,11,11,Lợi nhuận khác,3.192.534.964,241.328.278.219,(238.135.743.255),-99%,,3192534964.0,241328278219.0,-238135743255.0,-0.99
12,12,12,Lợi nhuận trước thuế,1.229.157.747.928,698.516.779.014,530.640.968.914,76%,,1229157747928.0,698516779014.0,530640968914.0,0.76
13,13,13,Thuế TNDN hiện hành,172.226.511.967,86.459.077.071,85.767.434.896,99%,,172226511967.0,86459077071.0,85767434896.0,0.99
14,14,14,Thuế TNDN hoãn lại,-18.653.863.474,950.342.220,(19.604.205.694),-,,-18653863474.0,950342220.0,-19604205694.0,
15,15,15,Lợi nhuận sau thuế,1.075.585.099.435,611.107.359.723,464.477.739.712,76%,,1075585099435.0,611107359723.0,464477739712.0,0.76
