row_label_raw,row_label_full,Thuế giá trị gia tăng,1/10/2019VND > 58.864.807.073,Số phải nộptrong nămVND > 4.739.667.503.097,Số đã nộptrong nămVND > (954.788.582.634),Số đãcấn trừVND > (3.695.815.944.859),Phân loại lạiVND > (1.323.542.817),30/9/2020VND > 146.604.239.860,numeric__1/10/2019VND > 58.864.807.073,numeric__Số phải nộptrong nămVND > 4.739.667.503.097,numeric__Số đã nộptrong nămVND > (954.788.582.634),numeric__Số đãcấn trừVND > (3.695.815.944.859),numeric__Phân loại lạiVND > (1.323.542.817),numeric__30/9/2020VND > 146.604.239.860
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,78.347.372,1.891.721.468,(1.513.879.708),-,-,456.189.132,78347372.0,1891721468.0,-1513879708.0,,,456189132.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,172.226.511.967,(110.417.388.642),-,(4.903.381.103),56.905.742.222,,172226511967.0,-110417388642.0,,-4903381103.0,56905742222.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.553.657.854,19.279.894.528,(19.322.473.137),-,(2.640.967),2.508.438.278,2553657854.0,19279894528.0,-19322473137.0,,-2640967.0,2508438278.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,77.148.350,1.764.458.204,(1.749.541.894),-,-,92.064.660,77148350.0,1764458204.0,-1749541894.0,,,92064660.0
,,,61.573.960.649,4.934.830.089.264,(1.087.791.866.015),(3.695.815.944.859),(6.229.564.887),206.566.674.152,61573960649.0,4934830089264.0,-1087791866015.0,-3695815944859.0,-6229564887.0,206566674152.0
(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,,,,,,
,,,,,1/10/2019VND,Số phát sinhtrong nămVND,Phân loại lạiVND,30/9/2020VND,,,,,,
Thuế thu nhập doanh nghiệp,(b) Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,4.903.381.103,-,(4.903.381.103),-,,,4903381103.0,,-4903381103.0,
Các loại thuế khác,(b) Thuế phải thu Nhà nước > Các loại thuế khác,Các loại thuế khác,,,2.640.967,3.000.000,(2.640.967),3.000.000,,,2640967.0,3000000.0,-2640967.0,3000000.0
,,,,,4.906.022.070,3.000.000,(4.906.022.070),3.000.000,,,4906022070.0,3000000.0,-4906022070.0,3000000.0
