row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,3.037.350.943.346,1.710.398.642.772,3037350943346.0,1710398642772.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,2.498.747.115.421,1.518.416.136.050,2498747115421.0,1518416136050.0
Bán tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Bán tài sản cố định,Bán tài sản cố định,-,1.747.943.215,,1747943215.0
Hàng bán bị trả lại,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Hàng bán bị trả lại,Hàng bán bị trả lại,89.818.330,275.373.509,89818330.0,275373509.0
Trà lại hàng mua,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Trà lại hàng mua,Trà lại hàng mua,1.767.576.138,611.276.883,1767576138.0,611276883.0
Hàng mua được giảm giá,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Hàng mua được giảm giá,Hàng mua được giảm giá,15.178.182,2.272.727,15178182.0,2272727.0
Góp vốn,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Góp vốn,Góp vốn,-,350.000.000.000,,350000000000.0
Chi phí gia công,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Chi phí gia công,Chi phí gia công,40.363.221.505,-,40363221505.0,
Mua khác,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Mua khác,Mua khác,741.525.153,-,741525153.0,
Bán khác,Công ty TNHH Một Thành Viên Hoa Sen Nhon Hội -Bình Định > Bán khác,Bán khác,76.110.897,68.053.769,76110897.0,68053769.0
Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam,,
Bán hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,29.256.828.653,3.130.344.289,29256828653.0,3130344289.0
Mua hàng hóa và thành phẩm,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,551.390.640.670,833.780.298.039,551390640670.0,833780298039.0
Mua tài sản cố định,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Mua tài sản cố định,Mua tài sản cố định,348.116.539,-,348116539.0,
Hàng bán bị trả lại,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Hàng bán bị trả lại,Hàng bán bị trả lại,-,71.190.100,,71190100.0
Doanh thu từ cho thuê tài sản,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Doanh thu từ cho thuê tài sản,Doanh thu từ cho thuê tài sản,241.200.000,323.000.000,241200000.0,323000000.0
Đi thuê hoạt động,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Đi thuê hoạt động,Đi thuê hoạt động,216.000.000,78.000.000,216000000.0,78000000.0
Trà lại hàng mua/hàng mua được giảm giá,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Trà lại hàng mua/hàng mua được giảm giá,Trà lại hàng mua/hàng mua được giảm giá,50.822.590,190.175.121,50822590.0,190175121.0
Mua khác,Công ty TNHH Một Thành Viên Hoa Sen Hà Nam > Mua khác,Mua khác,47.299.914,-,47299914.0,
Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,,
Cho vay,Công ty Cổ phần Hoa Sen Yên Bái > Cho vay,Cho vay,114.900.000.000,22.700.000.000,114900000000.0,22700000000.0
Thu tiền cho vay,Công ty Cổ phần Hoa Sen Yên Bái > Thu tiền cho vay,Thu tiền cho vay,7.000.000.000,30.000.000.000,7000000000.0,30000000000.0
