row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2020 VND,Năm kết thúc ngày > 30/9/2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2020 VND,numeric__Năm kết thúc ngày > 30/9/2019 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,29,45.103.812.699.734,44.795.852.916.502,1.0,29.0,45103812699734.0,44795852916502.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,29,150.953.669.705,25.815.045.304,2.0,29.0,150953669705.0,25815045304.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,29,44.952.859.030.029,44.770.037.871.198,10.0,29.0,44952859030029.0,44770037871198.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,11,30,42.130.019.773.392,42.509.205.331.768,11.0,30.0,42130019773392.0,42509205331768.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,2.822.839.256.637,2.260.832.539.430,20.0,,2822839256637.0,2260832539430.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,31,882.731.990.749,400.189.675.049,21.0,31.0,882731990749.0,400189675049.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,32,372.603.906.385,439.093.531.704,22.0,32.0,372603906385.0,439093531704.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,277.498.364.219,399.146.337.196,23.0,,277498364219.0,399146337196.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,33,1.838.841.569.984,1.452.918.463.175,25.0,33.0,1838841569984.0,1452918463175.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,34,268.160.558.053,311.821.718.805,26.0,34.0,268160558053.0,311821718805.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,1.225.965.212.964,457.188.500.795,30.0,,1225965212964.0,457188500795.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,35,19.875.796.975,245.868.531.680,31.0,35.0,19875796975.0,245868531680.0
Chi phí khác,Chi phí khác,Chi phí khác,32,36,16.683.262.011,4.540.253.461,32.0,36.0,16683262011.0,4540253461.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,3.192.534.964,241.328.278.219,40.0,,3192534964.0,241328278219.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,1.229.157.747.928,698.516.779.014,50.0,,1229157747928.0,698516779014.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,38,172.226.511.967,86.459.077.071,51.0,38.0,172226511967.0,86459077071.0
(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,52,38,(18.653.863.474),950.342.220,52.0,38.0,-18653863474.0,950342220.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),60,,1.075.585.099.435,611.107.359.723,60.0,,1075585099435.0,611107359723.0
