row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.800.000.000.000,-,3.269.425.647,844.450.345.709,7.647.719.771.356,6800000000000.0,,3269425647.0,844450345709.0,7647719771356.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,27.674.750.000,-,-,-,27.674.750.000,27674750000.0,,,,27674750000.0
Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,563.229.039.760,563.229.039.760,,,,563229039760.0,563229039760.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,(523.117.750.000),(523.117.750.000),,,,-523117750000.0,-523117750000.0
Tăng khác/ Giảm khác,Tăng khác/ Giảm khác,Tăng khác/ Giảm khác,-,(45.000.000),34.347.000.000,-,34.302.000.000,,-45000000.0,34347000000.0,,34302000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,6.827.674.750.000,(45.000.000),37.616.425.647,884.561.635.469,7.749.807.811.116,6827674750000.0,-45000000.0,37616425647.0,884561635469.0,7749807811116.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,6.827.674.750.000,(45.000.000),37.616.425.647,884.561.635.469,7.749.807.811.116,6827674750000.0,-45000000.0,37616425647.0,884561635469.0,7749807811116.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,,,,,
Lãi/lỗ trong năm nay,Tăng vốn trong năm nay > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,776.260.996.654,776.260.996.654,,,,776260996654.0,776260996654.0
Phân phối lợi nhuận (*),Tăng vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,(474.015.985.000),(474.015.985.000),,,,-474015985000.0,-474015985000.0
Tăng khác/ Giảm khác (*),Tăng vốn trong năm nay > Tăng khác/ Giảm khác (*),Tăng khác/ Giảm khác (*),-,-,33.794.000.000,-,33.794.000.000,,,33794000000.0,,33794000000.0
Số dư cuối năm nay,Tăng vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.827.674.750.000,(45.000.000),71.410.425.647,1.186.806.647.123,8.085.846.822.770,6827674750000.0,-45000000.0,71410425647.0,1186806647123.0,8085846822770.0
