row_label_raw,row_label_full,Vay,Vay_1,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ_1,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Vay_1,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ_1,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,3.263.817.244.910,3.263.817.244.910,5.067.723.169.824,5.073.710.771.614,3.257.829.643.120,,3263817244910.0,3263817244910.0,5067723169824.0,5073710771614.0,3257829643120.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,[1],1.529.911.196.902,1.529.911.196.902,3.236.248.524.176,3.339.804.723.606,1.426.354.997.472,,1529911196902.0,1529911196902.0,3236248524176.0,3339804723606.0,1426354997472.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,1.733.906.048.008,1.733.906.048.008,1.831.474.645.648,1.733.906.048.008,1.831.474.645.648,,1733906048008.0,1733906048008.0,1831474645648.0,1733906048008.0,1831474645648.0
Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,[2],863.873.574.072,863.873.574.072,965.997.617.446,863.873.574.072,965.997.617.446,,863873574072.0,863873574072.0,965997617446.0,863873574072.0,965997617446.0
Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,[3],800.032.473.936,800.032.473.936,795.477.028.202,800.032.473.936,795.477.028.202,,800032473936.0,800032473936.0,795477028202.0,800032473936.0,795477028202.0
Trái phiếu,Trái phiếu,Trái phiếu,[4],70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,,70000000000.0,70000000000.0,70000000000.0,70000000000.0,70000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,,4.543.932.125.525,4.543.932.125.525,225.335.310.602,1.920.797.937.373,2.848.469.498.754,,4543932125525.0,4543932125525.0,225335310602.0,1920797937373.0,2848469498754.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,[2],2.713.258.407.950,2.713.258.407.950,140.943.037.524,1.027.673.649.672,1.826.527.795.802,,2713258407950.0,2713258407950.0,140943037524.0,1027673649672.0,1826527795802.0
Vay các bên liên quan,Vay các bên liên quan,Vay các bên liên quan,[3],1.605.673.717.575,1.605.673.717.575,84.392.273.078,823.124.287.701,866.941.702.952,,1605673717575.0,1605673717575.0,84392273078.0,823124287701.0,866941702952.0
Trái phiếu,Trái phiếu,Trái phiếu,[4],225.000.000.000,225.000.000.000,-,70.000.000.000,155.000.000.000,,225000000000.0,225000000000.0,,70000000000.0,155000000000.0
Cộng,Cộng,Cộng,,7.807.749.370.435,7.807.749.370.435,5.293.058.480.426,6.994.508.708.987,6.106.299.141.874,,7807749370435.0,7807749370435.0,5293058480426.0,6994508708987.0,6106299141874.0
[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng,Thời hạn vay,Lãi suất,Lãi suất,Mục đích khoản vay,Tài sản đảm bảo,Số dư cuối năm,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Hợp đồng tín dụng số 01/2022/6365874/HĐTD,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Hợp đồng tín dụng số 01/2022/6365874/HĐTD,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Hợp đồng tín dụng số 01/2022/6365874/HĐTD,04 - 05 tháng,Thay đổi theo từng thời kỳ,Thay đổi theo từng thời kỳ,Vay bổ sung vốn lưu động,Vay tín chấp,421.000.000.000,,,,,,421000000000.0
Ngân hàng TMCP Quân đội - CN Ba Đình - Hợp đồng tín dụng số 66864.21.086.1832681.TD,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng > Ngân hàng TMCP Quân đội - CN Ba Đình - Hợp đồng tín dụng số 66864.21.086.1832681.TD,Ngân hàng TMCP Quân đội - CN Ba Đình - Hợp đồng tín dụng số 66864.21.086.1832681.TD,04 tháng,Thay đổi theo từng thời kỳ,Thay đổi theo từng thời kỳ,Vay bổ sung vốn lưu động,Vay tín chấp,400.000.000.000,,,,,,400000000000.0
Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà ThànhHợp đồng số 21/7871371-CTD/031,[1] Vay ngân hàng ngắn hạnBên cho vay và hợp đồng > Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà ThànhHợp đồng số 21/7871371-CTD/031,Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà ThànhHợp đồng số 21/7871371-CTD/031,04 tháng,Thay đổi theo từng thời kỳ,Thay đổi theo từng thời kỳ,Vay bổ sung vốn lưu động,Quy định cụ thể theo hợp đồng đảm bảo số 20/7871371-HĐTC/01,500.000.000.000,,,,,,500000000000.0
