row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số năm nay,Số năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,10.638.413.066.316,11.521.970.599.757,,1.0,,10638413066316.0,11521970599757.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,10.638.413.066.316,11.521.970.599.757,,10.0,,10638413066316.0,11521970599757.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,9.359.485.201.848,10.446.320.858.080,,11.0,,9359485201848.0,10446320858080.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.278.927.864.468,1.075.649.741.677,,20.0,,1278927864468.0,1075649741677.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,343.714.233.998,455.004.237.966,,21.0,,343714233998.0,455004237966.0
7.,7.,7.,Chi phí tài chính,22,VI.4,479.668.065.528,416.217.983.918,,22.0,,479668065528.0,416217983918.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,327.934.666.828,127.900.332.237,,23.0,,327934666828.0,127900332237.0
8.,8.,8.,Chi phí bán hàng,25,,-,203.765.455,,25.0,,,203765455.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.5,290.017.691.723,234.427.883.257,,26.0,,290017691723.0,234427883257.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,852.956.341.215,879.804.347.013,,30.0,,852956341215.0,879804347013.0
11.,11.,11.,Thu nhập khác,31,VI.6,2.409.270.031,62.426.973.609,,31.0,,2409270031.0,62426973609.0
12.,12.,12.,Chi phí khác,32,,3.993.449.712,209.867.731,,32.0,,3993449712.0,209867731.0
13.,13.,13.,Lợi nhuận khác,40,,(1.584.179.681),62.217.105.878,,40.0,,-1584179681.0,62217105878.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,851.372.161.534,942.021.452.891,,50.0,,851372161534.0,942021452891.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.8,75.111.164.880,63.784.217.387,,51.0,,75111164880.0,63784217387.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,315.008.195.744,,52.0,,,315008195744.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,776.260.996.654,563.229.039.760,,60.0,,776260996654.0,563229039760.0
