row_label_raw,row_label_full,Bên liên quan > Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Nội dung giao dịch > Phí chuyển quyền sử dụng nhân hiệu TKV > Cung cấp dịch vụ > Nhận nợ Thuế nhà thầu > Lãi chậm trả tiền than > Chi phí đi vay,Giá trị giao dịch > Số năm nay > 24.778.235.334 > - > 1.832.994.484 > 3.489.172.506 > 76.906.332.995,Giá trị giao dịch > Số năm trước > 24.234.381.859 > 1.195.035.748 > 2.089.898.971 > 34.840.838.379 > 87.753.342.393,numeric__Nội dung giao dịch > Phí chuyển quyền sử dụng nhân hiệu TKV > Cung cấp dịch vụ > Nhận nợ Thuế nhà thầu > Lãi chậm trả tiền than > Chi phí đi vay,numeric__Giá trị giao dịch > Số năm nay > 24.778.235.334 > - > 1.832.994.484 > 3.489.172.506 > 76.906.332.995,numeric__Giá trị giao dịch > Số năm trước > 24.234.381.859 > 1.195.035.748 > 2.089.898.971 > 34.840.838.379 > 87.753.342.393
Công ty Kho vận và Cảng Cẩm Phá - Vinacomin,Công ty Kho vận và Cảng Cẩm Phá - Vinacomin,Công ty Kho vận và Cảng Cẩm Phá - Vinacomin,Bán than,168.101.319.405,167.827.357.933,,168101319405.0,167827357933.0
Công ty Kho vận và Cảng Cẩm Phá - Vinacomin,Công ty Kho vận và Cảng Cẩm Phá - Vinacomin,Công ty Kho vận và Cảng Cẩm Phá - Vinacomin,Mua than,4.851.944.565.092,6.617.705.387.081,,4851944565092.0,6617705387081.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Bán điện,2.150.374.801,2.228.624.168,,2150374801.0,2228624168.0
Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mỏ Việt Bắc TKV - CTCP,"Mua dịch vụ, thiết bị",29.444.967.763,23.393.138.014,,29444967763.0,23393138014.0
Viện Cơ khí Năng lượng và mỏ - Vinacomin,Viện Cơ khí Năng lượng và mỏ - Vinacomin,Viện Cơ khí Năng lượng và mỏ - Vinacomin,"Mua vật tư, dịch vụ",14.409.018.466,4.429.048.765,,14409018466.0,4429048765.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,"Mua hàng hóa, dịch vụ",110.613.320.638,15.458.911.260,,110613320638.0,15458911260.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Bán điện,1.357.464,-,,1357464.0,
Bệnh viện Than - Khoáng sản,Bệnh viện Than - Khoáng sản,Bệnh viện Than - Khoáng sản,Mua dịch vụ,865.499.370,555.418.656,,865499370.0,555418656.0
Trường Cao đẳng Than - Khoáng sản Việt Nam,Trường Cao đẳng Than - Khoáng sản Việt Nam,Trường Cao đẳng Than - Khoáng sản Việt Nam,Mua dịch vụ,556.578.000,172.187.000,,556578000.0,172187000.0
Công ty CP Công nghiệp Ô tô - Vinacomin,Công ty CP Công nghiệp Ô tô - Vinacomin,Công ty CP Công nghiệp Ô tô - Vinacomin,"Mua vật tư, thiết bị, dịch vụ",4.914.598.666,515.034.000,,4914598666.0,515034000.0
Trường Quản trị kinh doanh - Vinacomin,Trường Quản trị kinh doanh - Vinacomin,Trường Quản trị kinh doanh - Vinacomin,Mua dịch vụ,529.058.500,331.850.000,,529058500.0,331850000.0
