row_label_raw,row_label_full,Điều chỉnh khấu hao TSCĐ các năm trước > Điều chỉnh chi phí sửa chữa lớn các năm trước,Số năm nay > -,Số năm trước > 46.860.582.018 > 5.853.149.015,numeric__Số năm nay > -,numeric__Số năm trước > 46.860.582.018 > 5.853.149.015
Các khoản khác,Các khoản khác,Các khoản khác,2.409.270.031,9.713.242.576,2409270031.0,9713242576.0
Cộng,Cộng,Cộng,2.409.270.031,62.426.973.609,2409270031.0,62426973609.0
