row_label_raw,row_label_full,Bên liên quan,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Trường Quản trị kinh doanh Vinacomin,Trường Quản trị kinh doanh Vinacomin,Trường Quản trị kinh doanh Vinacomin,-,45.000.000,,45000000.0
Viện Khoa học Công nghệ Mỏ - Vinacomin,Viện Khoa học Công nghệ Mỏ - Vinacomin,Viện Khoa học Công nghệ Mỏ - Vinacomin,-,69.478.000,,69478000.0
Công ty tư vấn quản lý dự án -Vinacomin,Công ty tư vấn quản lý dự án -Vinacomin,Công ty tư vấn quản lý dự án -Vinacomin,300.000.000,300.000.000,300000000.0,300000000.0
Cộng,Cộng,Cộng,300.000.000,414.478.000,300000000.0,414478000.0
Phải thu khác (thuyết minh chi tiết cho khoản mục V.5),Phải thu khác (thuyết minh chi tiết cho khoản mục V.5),Phải thu khác (thuyết minh chi tiết cho khoản mục V.5),Phải thu khác (thuyết minh chi tiết cho khoản mục V.5),Phải thu khác (thuyết minh chi tiết cho khoản mục V.5),,
Bên liên quan,Bên liên quan,Bên liên quan,Số cuối năm,Số đầu năm,,
Công ty CP Than - Điện Nông Sơn - TKV,Bên liên quan > Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,8.608.152.421,709.648.126,8608152421.0,709648126.0
Phải thu lãi cho vay,Bên liên quan > Phải thu lãi cho vay,Phải thu lãi cho vay,5.741.619.594,709.648.126,5741619594.0,709648126.0
Phải thu lai chậm trả tiền than,Bên liên quan > Phải thu lai chậm trả tiền than,Phải thu lai chậm trả tiền than,2.866.532.827,-,2866532827.0,
Cộng,Bên liên quan > Cộng,Cộng,8.608.152.421,709.648.126,8608152421.0,709648126.0
