row_label_raw,row_label_full,col_0,Số năm nay,Số năm trước,numeric__Số năm nay,numeric__Số năm trước
Lợi nhuận/(lỗ) thuần trước thuế,Lợi nhuận/(lỗ) thuần trước thuế,Lợi nhuận/(lỗ) thuần trước thuế,851.372.161.534,942.021.452.891,851372161534.0,942021452891.0
Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,Các điều chỉnh tăng/(giảm) lợi nhuận/(lỗ) theo kế toán,(145.760.682.044),(372.791.310.291),-145760682044.0,-372791310291.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,188.700.373.779,1.547.597.330.091,188700373779.0,1547597330091.0
Hoạt động nhận sáp nhập doanh nghiệp và Điều chỉnh theo kết luận kiểm toán nhà nước,Hoạt động nhận sáp nhập doanh nghiệp và Điều chỉnh theo kết luận kiểm toán nhà nước,Hoạt động nhận sáp nhập doanh nghiệp và Điều chỉnh theo kết luận kiểm toán nhà nước,-,1.547.369.778.997,,1547369778997.0
"Chi phí không hợp lý, hợp lệ","Chi phí không hợp lý, hợp lệ","Chi phí không hợp lý, hợp lệ",188.700.373.779,227.551.094,188700373779.0,227551094.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(334.461.055.823),(1.920.388.640.382),-334461055823.0,-1920388640382.0
Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,Cổ tức lợi nhuận được chia,(334.461.055.823),(345.347.661.663),-334461055823.0,-345347661663.0
Hoạt động nhận sáp nhập doanh nghiệp,Hoạt động nhận sáp nhập doanh nghiệp,Hoạt động nhận sáp nhập doanh nghiệp,-,(1.575.040.978.719),,-1575040978719.0
Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,Lợi nhuận/(lỗ) điều chỉnh trước thuế chưa trừ lỗ năm trước,705.611.479.490,569.230.142.600,705611479490.0,569230142600.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,-,,
Thu nhập chịu thuế,Lỗ năm trước chuyển sang > Thu nhập chịu thuế,Thu nhập chịu thuế,705.611.479.490,569.230.142.600,705611479490.0,569230142600.0
Thuế suất thuế TNDN hiện hành,Lỗ năm trước chuyển sang > Thuế suất thuế TNDN hiện hành,Thuế suất thuế TNDN hiện hành,20%,20%,0.2,0.2
Thuế TNDN phải nộp,Lỗ năm trước chuyển sang > Thuế TNDN phải nộp,Thuế TNDN phải nộp,141.122.295.898,113.846.028.520,141122295898.0,113846028520.0
Thuế TNDN được miễn giảm (*),Lỗ năm trước chuyển sang > Thuế TNDN được miễn giảm (*),Thuế TNDN được miễn giảm (*),(66.011.131.018),(56.923.014.260),-66011131018.0,-56923014260.0
Thuế TNDN hiện hành,Lỗ năm trước chuyển sang > Thuế TNDN hiện hành,Thuế TNDN hiện hành,75.111.164.880,56.923.014.260,75111164880.0,56923014260.0
