row_label_raw,row_label_full,STT,Tên đơn vị,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Tên đơn vị,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
I.,I.,I.,Đầu tư vào công ty con,126.127.703.592,-,126.127.703.592,126.127.703.592,-,126.127.703.592,,126127703592.0,,126127703592.0,126127703592.0,,126127703592.0
1.,1.,1.,Công ty CP Than - Điện Nông Sơn - TKV,126.127.703.592,-,126.127.703.592,126.127.703.592,-,126.127.703.592,,126127703592.0,,126127703592.0,126127703592.0,,126127703592.0
II.,II.,II.,Đầu tư góp vốn vào đơn vị khác,1.224.938.734.159,-,1.224.938.734.159,1.224.938.734.159,-,1.224.938.734.159,,1224938734159.0,,1224938734159.0,1224938734159.0,,1224938734159.0
1.,1.,1.,Công ty TNHH Điện lực Vĩnh Tân,386.597.424.159,-,386.597.424.159,386.597.424.159,-,386.597.424.159,,386597424159.0,,386597424159.0,386597424159.0,,386597424159.0
2.,2.,2.,Công ty CP Nhiệt điện Hải Phòng,360.500.000.000,-,360.500.000.000,360.500.000.000,-,360.500.000.000,,360500000000.0,,360500000000.0,360500000000.0,,360500000000.0
3.,3.,3.,Công ty CP Nhiệt điện Quảng Ninh,477.841.310.000,-,477.841.310.000,477.841.310.000,-,477.841.310.000,,477841310000.0,,477841310000.0,477841310000.0,,477841310000.0
,,,Cộng,1.351.066.437.751,-,1.351.066.437.751,1.351.066.437.751,-,1.351.066.437.751,,1351066437751.0,,1351066437751.0,1351066437751.0,,1351066437751.0
