row_label_raw,row_label_full,Nợ phải trả (NPT),Nợ phải trả (NPT)_1,Nợ phải trả (NPT)_2,Nợ phải trả (NPT)_3,numeric__Nợ phải trả (NPT)_1,numeric__Nợ phải trả (NPT)_2,numeric__Nợ phải trả (NPT)_3
NPT trực tiếp của bộ phận,NPT trực tiếp của bộ phận,NPT trực tiếp của bộ phận,7.827.143.781.800,-,7.827.143.781.800,7827143781800.0,,7827143781800.0
NPT không phân bổ,NPT không phân bổ,NPT không phân bổ,,,459.110.131.661,,,459110131661.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,8.286.253.913.461,,,8286253913461.0
