row_label_raw,row_label_full,Trung tâm y tế than khu vực Mạo Khê,Mua dịch vụ,1.099.886.200,147.902.500,numeric__Mua dịch vụ,numeric__1.099.886.200,numeric__147.902.500
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Bán phế liệu,280.049.620,-,,280049620.0,
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Mua dịch vụ,999.529.280,189.894.500,,999529280.0,189894500.0
"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin",Mua dịch vụ,529.244.769,-,,529244769.0,
Công ty CP Xuất nhập khẩu Than - Vinacomin,Công ty CP Xuất nhập khẩu Than - Vinacomin,Công ty CP Xuất nhập khẩu Than - Vinacomin,"Mua thiết bị, dịch vụ",1.111.968.000,-,,1111968000.0,
Công ty CP Giám định - Vinacomin,Công ty CP Giám định - Vinacomin,Công ty CP Giám định - Vinacomin,Mua dịch vụ,187.405.394,38.630.170,,187405394.0,38630170.0
Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Mua hàng hóa,221.300.640,199.192.000,,221300640.0,199192000.0
Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,Ban QLDA Chuyên ngành Mỏ than,Mua dịch vụ,21.165.000,903.780.992,,21165000.0,903780992.0
Viện Khoa học Công nghệ mỏ -Vinacomin,Viện Khoa học Công nghệ mỏ -Vinacomin,Viện Khoa học Công nghệ mỏ -Vinacomin,"Mua vật tư, dịch vụ",1.089.665.067,235.955.705,,1089665067.0,235955705.0
Công ty CP chế tạo máy-Vinacomin,Công ty CP chế tạo máy-Vinacomin,Công ty CP chế tạo máy-Vinacomin,"Mua hàng hóa, dịch vụ",1.197.630.556,749.673.636,,1197630556.0,749673636.0
Công ty CP Nhiệt điện Cẩm Phả - TKV (nay là đơn vị trực thuộc Tổng Công ty),Công ty CP Nhiệt điện Cẩm Phả - TKV (nay là đơn vị trực thuộc Tổng Công ty),Công ty CP Nhiệt điện Cẩm Phả - TKV (nay là đơn vị trực thuộc Tổng Công ty),Cho thuê xe xúc lật,-,43.200.000,,,43200000.0
Công ty CP Nhiệt điện Cẩm Phả - TKV (nay là đơn vị trực thuộc Tổng Công ty),Công ty CP Nhiệt điện Cẩm Phả - TKV (nay là đơn vị trực thuộc Tổng Công ty),Công ty CP Nhiệt điện Cẩm Phả - TKV (nay là đơn vị trực thuộc Tổng Công ty),Bán than,-,3.093.493.228.172,,,3093493228172.0
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Bán than,169.211.881.472,-,,169211881472.0,
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Mua than,168.101.319.405,167.827.357.934,,168101319405.0,167827357934.0
Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Công ty CP Than - Điện Nông Sơn - TKV,Lãi trả chậm tiền than,2.866.532.827,-,,2866532827.0,
Cộng,Cộng,Cộng,,5.637.454.971.714,10.246.559.269.836,,5637454971714.0,10246559269836.0
