row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sãnkhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sãnkhácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.875.922.426.610,6.455.936.530.501,291.096.738.139,95.721.764.228,157.686.548.924,8.876.364.008.402,1875922426610.0,6455936530501.0,291096738139.0,95721764228.0,157686548924.0,8876364008402.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,162.947.922.178,542.602.653.393,33.895.767.280,7.249.208.454,13.390.338.939,760.085.890.244,162947922178.0,542602653393.0,33895767280.0,7249208454.0,13390338939.0,760085890244.0
Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Chuyển từ tài sản cố định hữu hìnhthuê tài chính,-,5.661.214.110,-,-,-,5.661.214.110,,5661214110.0,,,,5661214110.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(7.591.000.019),-,-,-,-,(7.591.000.019),-7591000019.0,,,,,-7591000019.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(189.457.893),-,-,-,(189.457.893),,-189457893.0,,,,-189457893.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.060.944.501),(187.708.281.633),(8.594.898.662),(390.043.696),(6.349.241.679),(214.103.410.171),-11060944501.0,-187708281633.0,-8594898662.0,-390043696.0,-6349241679.0,-214103410171.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,453.093.557,(1.554.348.461),927.478.016,169.317.576,4.459.312,-,453093557.0,-1554348461.0,927478016.0,169317576.0,4459312.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.020.671.497.825,6.814.748.310.017,317.325.084.773,102.750.246.562,164.732.105.496,9.420.227.244.673,2020671497825.0,6814748310017.0,317325084773.0,102750246562.0,164732105496.0,9420227244673.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.113.878.843.361,2.988.472.754.166,149.742.559.477,25.981.202.857,28.650.484.644,5.306.725.844.505,2113878843361.0,2988472754166.0,149742559477.0,25981202857.0,28650484644.0,5306725844505.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.982.827.758.208,2.681.549.858.310,141.232.610.237,24.420.600.726,20.402.479.736,4.850.433.307.217,1982827758208.0,2681549858310.0,141232610237.0,24420600726.0,20402479736.0,4850433307217.0
