row_label_raw,row_label_full,Năm 2025,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,9.954.099.466.879,8.418.827.209.191,18.372.926.676.070,9954099466879.0,8418827209191.0,18372926676070.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,1.275.457.176.706,1.088.135.037.461,2.363.592.214.167,1275457176706.0,1088135037461.0,2363592214167.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,1.039.772.589.802,,,1039772589802.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,(1.953.891.256.174),,,-1953891256174.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,1.449.473.547.795,,,1449473547795.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,72.940.381.968,,,72940381968.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(42.645.501.377),,,-42645501377.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(155.829.929.060),,,-155829929060.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,1.323.938.499.326,,,1323938499326.0
Năm 2024,Năm 2024,Năm 2024,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tổng doanh thu của bộ phận,Năm 2024 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,9.269.358.757.274,8.056.467.943.861,17.325.826.701.135,9269358757274.0,8056467943861.0,17325826701135.0
Kết quả kinh doanh của bộ phận,Năm 2024 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,949.575.308.256,925.399.732.806,1.874.975.041.062,949575308256.0,925399732806.0,1874975041062.0
Thu nhập không phân bổ,Năm 2024 > Thu nhập không phân bổ,Thu nhập không phân bổ,,,960.471.321.144,,,960471321144.0
Chi phí không phân bổ,Năm 2024 > Chi phí không phân bổ,Chi phí không phân bổ,,,(2.031.534.783.090),,,-2031534783090.0
Kết quả từ hoạt động kinh doanh,Năm 2024 > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,803.911.579.116,,,803911579116.0
Thu nhập khác,Năm 2024 > Thu nhập khác,Thu nhập khác,,,82.210.609.671,,,82210609671.0
Chi phí khác,Năm 2024 > Chi phí khác,Chi phí khác,,,(51.030.130.153),,,-51030130153.0
Thuế thu nhập doanh nghiệp,Năm 2024 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(179.653.535.240),,,-179653535240.0
Lợi nhuận thuần sau thuế TNDN,Năm 2024 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,655.438.523.394,,,655438523394.0
