row_label_raw,row_label_full,col_0,31/12/2025 > Tỷ lệ sở hữu %,31/12/2025 > Tỷ lệ quyền biểu quyết %,31/12/2025 > Giá trị ghi sổ theo phương pháp vốn chủ VND,31/12/2025 > Giá trị hợp lý VND,31/12/2025 > Tỷ lệ sở hữu %_1,1/1/2025 > Tỷ lệ quyền biểu quyết %,1/1/2025 > Giá trị ghi sổ theo phương pháp vốn chủ VND,1/1/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > Tỷ lệ sở hữu %,numeric__31/12/2025 > Tỷ lệ quyền biểu quyết %,numeric__31/12/2025 > Giá trị ghi sổ theo phương pháp vốn chủ VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > Tỷ lệ sở hữu %_1,numeric__1/1/2025 > Tỷ lệ quyền biểu quyết %,numeric__1/1/2025 > Giá trị ghi sổ theo phương pháp vốn chủ VND,numeric__1/1/2025 > Giá trị hợp lý VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,
▪ Tổng Công ty May 10 - CTCP,Công ty liên kết > ▪ Tổng Công ty May 10 - CTCP,▪ Tổng Công ty May 10 - CTCP,"32,21%","32,21%",183.890.844.610,(*),"32,21%","32,21%",130.632.822.560,(*),0.3221,0.3221,183890844610.0,,0.3221,0.3221,130632822560.0,
▪ Tổng Công ty Cổ phần May Việt Tiến,Công ty liên kết > ▪ Tổng Công ty Cổ phần May Việt Tiến,▪ Tổng Công ty Cổ phần May Việt Tiến,"30,40%","30,40%",627.882.475.704,(*),"30,40%","30,40%",496.161.387.345,(*),0.304,0.304,627882475704.0,,0.304,0.304,496161387345.0,
▪ Tổng Công ty Việt Thắng - CTCP,Công ty liên kết > ▪ Tổng Công ty Việt Thắng - CTCP,▪ Tổng Công ty Việt Thắng - CTCP,"46,93%","46,93%",142.294.639.452,(*),"46,93%","46,93%",93.478.002.856,(*),0.4693,0.4693,142294639452.0,,0.4693,0.4693,93478002856.0,
▪ Tổng Công ty May Nhà Bè - CTCP,Công ty liên kết > ▪ Tổng Công ty May Nhà Bè - CTCP,▪ Tổng Công ty May Nhà Bè - CTCP,"25,20%","25,20%",134.185.136.565,(*),"25,20%","25,20%",113.690.135.742,(*),0.252,0.252,134185136565.0,,0.252,0.252,113690135742.0,
▪ Tổng Công ty May Đức Giang - CTCP,Công ty liên kết > ▪ Tổng Công ty May Đức Giang - CTCP,▪ Tổng Công ty May Đức Giang - CTCP,"35,22%","35,22%",58.535.541.939,(*),"35,22%","35,22%",55.019.591.363,(*),0.3522,0.3522,58535541939.0,,0.3522,0.3522,55019591363.0,
▪ Tổng Công ty May Hưng Yên - CTCP,Công ty liên kết > ▪ Tổng Công ty May Hưng Yên - CTCP,▪ Tổng Công ty May Hưng Yên - CTCP,"35,01%","35,01%",129.716.852.641,(*),"35,01%","35,01%",126.816.361.582,(*),0.35009999999999997,0.35009999999999997,129716852641.0,,0.35009999999999997,0.35009999999999997,126816361582.0,
▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,Công ty liên kết > ▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,▪ Công ty Cổ phần Đệt May Viễn thông Sài Gòn Vina,"30,00%","30,00%",81.824.394.982,(*),"30,00%","30,00%",84.795.901.963,(*),0.3,0.3,81824394982.0,,0.3,0.3,84795901963.0,
▪ Công ty TNHH Coats Phong Phú,Công ty liên kết > ▪ Công ty TNHH Coats Phong Phú,▪ Công ty TNHH Coats Phong Phú,"17,86%","35,65%",885.980.015.529,(*),"17,86%","35,65%",1.219.556.571.207,(*),0.17859999999999998,0.3565,885980015529.0,,0.17859999999999998,0.3565,1219556571207.0,
▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,Công ty liên kết > ▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,▪ Công ty Cổ phần Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,"23,87%","47,64%",139.435.416.113,(*),"23,87%","47,64%",111.381.374.919,(*),0.23870000000000002,0.4764,139435416113.0,,0.23870000000000002,0.4764,111381374919.0,
▪ Các khoản đầu tư tại công ty liên kết khác,Công ty liên kết > ▪ Các khoản đầu tư tại công ty liên kết khác,▪ Các khoản đầu tư tại công ty liên kết khác,,,682.861.170.591,(*),,,560.111.156.797,(*),,,682861170591.0,,,,560111156797.0,
,,,,,3.066.606.488.126,,,,2.991.643.306.334,,,,3066606488126.0,,,,2991643306334.0,
