row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sánkhácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sánkhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,121.125.604.239,28.370.498.033,1.758.735.714,151.254.837.986,121125604239.0,28370498033.0,1758735714.0,151254837986.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,779.861.818,-,779.861.818,,779861818.0,,779861818.0
Chuyển từ xây dựngcor bản dở dang,Nguyên giá > Chuyển từ xây dựngcor bản dở dang,Chuyển từ xây dựngcor bản dở dang,-,1.161.122.567,-,1.161.122.567,,1161122567.0,,1161122567.0
Chuyển sang xây dựngcor bản dở dang,Nguyên giá > Chuyển sang xây dựngcor bản dở dang,Chuyển sang xây dựngcor bản dở dang,(78.833.849.210),-,-,(78.833.849.210),-78833849210.0,,,-78833849210.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(1.851.703.772),-,(1.851.703.772),,-1851703772.0,,-1851703772.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,42.291.755.029,28.459.778.646,1.758.735.714,72.510.269.389,42291755029.0,28459778646.0,1758735714.0,72510269389.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,34.431.633.616,22.748.706.507,1.556.458.825,58.736.798.948,34431633616.0,22748706507.0,1556458825.0,58736798948.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.205.963.615,2.339.166.847,65.707.416,4.610.837.878,2205963615.0,2339166847.0,65707416.0,4610837878.0
Chuyển sang xây dựngcor bản dở dang,Giá trị hao mòn lũy kế > Chuyển sang xây dựngcor bản dở dang,Chuyển sang xây dựngcor bản dở dang,(26.339.616.205),-,-,(26.339.616.205),-26339616205.0,,,-26339616205.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(1.851.703.772),-,(1.851.703.772),,-1851703772.0,,-1851703772.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.297.981.026,23.236.169.582,1.622.166.241,35.156.316.849,10297981026.0,23236169582.0,1622166241.0,35156316849.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,86.693.970.623,5.621.791.526,202.276.889,92.518.039.038,86693970623.0,5621791526.0,202276889.0,92518039038.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,31.993.774.003,5.223.609.064,136.569.473,37.353.952.540,31993774003.0,5223609064.0,136569473.0,37353952540.0
