row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chính lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,Nguồn kinh phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chính lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Nguồn kinh phí và các quỹ khác VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,Số dư tại ngày 1/1/2024 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,214.733.466.584,(747.830.122.185),777.414.063.148,816.435.249.442,543.092.845.095,2.370.847.363.686,9.005.054.798.122,20.172.889.902,9.025.227.688.024,5000000000000.0,30361932352.0,214733466584.0,-747830122185.0,777414063148.0,816435249442.0,543092845095.0,2370847363686.0,9005054798122.0,20172889902.0,9025227688024.0
Số dư tại ngày 1/1/2024 – đã báo cáo trước đây,Số dư tại ngày 1/1/2024 – đã báo cáo trước đây,Số dư tại ngày 1/1/2024 – đã báo cáo trước đây,5.000.000.000.000,30.361.932.352,214.733.466.584,(747.830.122.185),777.414.063.148,852.462.153.175,543.092.845.095,2.406.730.447.445,9.076.964.785.614,20.172.889.902,9.097.137.675.516,5000000000000.0,30361932352.0,214733466584.0,-747830122185.0,777414063148.0,852462153175.0,543092845095.0,2406730447445.0,9076964785614.0,20172889902.0,9097137675516.0
Điều chỉnh lại – Thuyết minh 44,Điều chỉnh lại – Thuyết minh 44,Điều chỉnh lại – Thuyết minh 44,-,-,-,-,-,(36.026.903.733),-,(35.883.083.759),(71.909.987.492),-,(71.909.987.492),,,,,,-36026903733.0,,-35883083759.0,-71909987492.0,,-71909987492.0
Chỉa cổ tức bằng cổ phiếu tại công ty con,Chỉa cổ tức bằng cổ phiếu tại công ty con,Chỉa cổ tức bằng cổ phiếu tại công ty con,-,-,1.790.450.000,-,-,(2.328.450.000),-,538.000.000,-,-,-,,,1790450000.0,,,-2328450000.0,,538000000.0,,,
Tăng vốn,Tăng vốn,Tăng vốn,-,-,-,-,-,-,-,360.000.000,360.000.000,-,360.000.000,,,,,,,,360000000.0,360000000.0,,360000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,334.382.936.554,-,331.655.586.840,655.438.523.394,-,655.438.523.394,,,,,,334382936554.0,,331655586840.0,655438523394.0,,655438523394.0
Phân bổ quỹ đầu tư phát triển,Phân bổ quỹ đầu tư phát triển,Phân bổ quỹ đầu tư phát triển,-,-,300.000.000,-,60.674.886.394,(60.974.886.394),-,-,-,-,-,,,300000000.0,,60674886394.0,-60974886394.0,,,,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(44.260.271.450),-,(29.081.219.440),(73.341.490.890),-,(73.341.490.890),,,,,,-44260271450.0,,-29081219440.0,-73341490890.0,,-73341490890.0
Giảm do thesis vốn đầu tư vào các công ty con,Giảm do thesis vốn đầu tư vào các công ty con,Giảm do thesis vốn đầu tư vào các công ty con,-,-,-,-,(13.134.346.201),13.134.346.201,-,725.906.069,725.906.069,-,725.906.069,,,,,-13134346201.0,13134346201.0,,725906069.0,725906069.0,,725906069.0
Giảm tỷ lệ sở hữu tại các công ty liên kết,Giảm tỷ lệ sở hữu tại các công ty liên kết,Giảm tỷ lệ sở hữu tại các công ty liên kết,-,-,-,-,-,(3.253.722.317),-,-,(3.253.722.317),-,(3.253.722.317),,,,,,-3253722317.0,,,-3253722317.0,,-3253722317.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,-,-,-,-,(858.666.915),(858.666.915),,,,,,,,,,-858666915.0,-858666915.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(150.000.000.000),-,(251.429.938.893),(401.429.938.893),-,(401.429.938.893),,,,,,-150000000000.0,,-251429938893.0,-401429938893.0,,-401429938893.0
Các liabilities đồng khác về vốn chủ sở hữu,Các liabilities đồng khác về vốn chủ sở hữu,Các liabilities đồng khác về vốn chủ sở hữu,-,-,-,-,-,1.759.852.182,-,(195.679.114),1.564.173.068,-,1.564.173.068,,,,,,1759852182.0,,-195679114.0,1564173068.0,,1564173068.0
Số dư tại ngày 1/1/2025 – đã điều chỉnh lại,Số dư tại ngày 1/1/2025 – đã điều chỉnh lại,Số dư tại ngày 1/1/2025 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,216.823.916.584,(747.830.122.185),824.954.603.341,894.895.054.218,543.092.845.095,2.422.820.019.148,9.185.118.248.553,19.314.222.987,9.204.432.471.540,5000000000000.0,30361932352.0,216823916584.0,-747830122185.0,824954603341.0,894895054218.0,543092845095.0,2422820019148.0,9185118248553.0,19314222987.0,9204432471540.0
Số dư tại ngày 1/1/2025 – đã bảo cáo trước đây,Số dư tại ngày 1/1/2025 – đã bảo cáo trước đây,Số dư tại ngày 1/1/2025 – đã bảo cáo trước đây,5.000.000.000.000,30.361.932.352,216.823.916.584,(747.830.122.185),824.954.603.341,930.921.957.951,543.092.845.095,2.458.703.102.907,9.257.028.236.045,19.314.222.987,9.276.342.459.032,5000000000000.0,30361932352.0,216823916584.0,-747830122185.0,824954603341.0,930921957951.0,543092845095.0,2458703102907.0,9257028236045.0,19314222987.0,9276342459032.0
Điều chỉnh lại – Thuyết minh 44,Điều chỉnh lại – Thuyết minh 44,Điều chỉnh lại – Thuyết minh 44,-,-,-,-,-,(36.026.903.733),-,(35.883.083.759),(71.909.987.492),-,(71.909.987.492),,,,,,-36026903733.0,,-35883083759.0,-71909987492.0,,-71909987492.0
Tăng vốn,Tăng vốn,Tăng vốn,-,-,-,-,-,-,-,1.500.000.000,1.500.000.000,-,1.500.000.000,,,,,,,,1500000000.0,1500000000.0,,1500000000.0
Phân bổ lại vốn,Phân bổ lại vốn,Phân bổ lại vốn,-,-,(82.435.026.543),-,82.435.026.543,-,-,1.500.000.000,1.500.000.000,-,1.500.000.000,,,-82435026543.0,,82435026543.0,,,1500000000.0,1500000000.0,,1500000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,851.653.233.237,-,472.285.266.089,1.323.938.499.326,-,1.323.938.499.326,,,,,,851653233237.0,,472285266089.0,1323938499326.0,,1323938499326.0
Phân bổ quỹ đầu tư phát triển,Phân bổ quỹ đầu tư phát triển,Phân bổ quỹ đầu tư phát triển,-,-,-,-,81.598.491.985,(81.598.491.985),-,-,-,-,-,,,,,81598491985.0,-81598491985.0,,,,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(77.938.798.436),-,(44.072.710.523),(122.011.508.959),-,(122.011.508.959),,,,,,-77938798436.0,,-44072710523.0,-122011508959.0,,-122011508959.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,-,-,-,-,(622.074.996),(622.074.996),,,,,,,,,,-622074996.0,-622074996.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(150.000.000.000),-,(87.981.922.500),(237.981.922.500),-,(237.981.922.500),,,,,,-150000000000.0,,-87981922500.0,-237981922500.0,,-237981922500.0
Các liabilities đồng khác về vốn chủ sở hữu,Các liabilities đồng khác về vốn chủ sở hữu,Các liabilities đồng khác về vốn chủ sở hữu,-,-,-,-,-,(10.030.825.797),-,(153.545.271.940),(163.576.097.737),-,(163.576.097.737),,,,,,-10030825797.0,,-153545271940.0,-163576097737.0,,-163576097737.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,5.000.000.000.000,30.361.932.352,134.388.890.041,(747.830.122.185),988.988.121.869,1.426.980.171.237,543.092.845.095,2.611.005.380.274,9.986.987.218.683,18.692.147.991,10.005.679.366.674,5000000000000.0,30361932352.0,134388890041.0,-747830122185.0,988988121869.0,1426980171237.0,543092845095.0,2611005380274.0,9986987218683.0,18692147991.0,10005679366674.0
