row_label_raw,row_label_full,Tại ngày 1/1/2025,Nội địa VND,Xuất khẩu VND,Hợp nhất VNDĐã điều chỉnh lại,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VNDĐã điều chỉnh lại
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,766.899.014.162,1.184.501.368.949,1.951.400.383.111,766899014162.0,1184501368949.0,1951400383111.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,17.314.449.778.841,,,17314449778841.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,19.265.850.161.952,,,19265850161952.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,65.660.381.004,27.171.239.895,92.831.620.899,65660381004.0,27171239895.0,92831620899.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,9.968.586.069.513,,,9968586069513.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,10.061.417.690.412,,,10061417690412.0
