row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,"Chi phí thuếvăn phòng,nhà xưởng,mặt bằngtrả trướcVND",Công cụ vàdụng cụVND,Chi phísửa chữa lớntài sản cố địnhVND,Chi phí trả trướcdài hạn khácVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,"numeric__Chi phí thuếvăn phòng,nhà xưởng,mặt bằngtrả trướcVND",numeric__Công cụ vàdụng cụVND,numeric__Chi phísửa chữa lớntài sản cố địnhVND,numeric__Chi phí trả trướcdài hạn khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,163.104.647.646,6.307.500.000,56.712.226.862,31.392.378.851,33.969.832.162,291.486.585.521,163104647646.0,6307500000.0,56712226862.0,31392378851.0,33969832162.0,291486585521.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,65.608.191.037,8.291.406.053,32.341.856.635,106.241.453.725,,,65608191037.0,8291406053.0,32341856635.0,106241453725.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,1.331.542.107,-,-,1.331.542.107,,,1331542107.0,,,1331542107.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,4.917.138.323,1.418.239.119,24.129.344.233,30.464.721.675,,,4917138323.0,1418239119.0,24129344233.0,30464721675.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(6.294.858.816),(5.220.000.000),(50.491.897.993),(11.934.617.226),(24.675.880.567),(98.617.254.602),-6294858816.0,-5220000000.0,-50491897993.0,-11934617226.0,-24675880567.0,-98617254602.0
Thanh lý,Thanh lý,Thanh lý,-,-,(27.520.905),-,-,(27.520.905),,,-27520905.0,,,-27520905.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,1.161.523.580,(190.385.494),(971.138.086),-,,,1161523580.0,-190385494.0,-971138086.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,156.809.788.830,1.087.500.000,79.211.203.011,28.977.021.303,64.794.014.377,330.879.527.521,156809788830.0,1087500000.0,79211203011.0,28977021303.0,64794014377.0,330879527521.0
