row_label_raw,row_label_full,col_0,31/12/2025,31/12/2025_1,numeric__31/12/2025,numeric__31/12/2025_1
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,451.825.961.082,(2.301.333.881),451825961082.0,-2301333881.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.320.067.544.131,(26.159.838.918),1320067544131.0,-26159838918.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,11.511.817.220,-,11511817220.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,832.729.151.877,(4.952.288.950),832729151877.0,-4952288950.0
Thành phẩm đệt may,Thành phẩm đệt may,Thành phẩm đệt may,620.144.521.366,(58.500.950.591),620144521366.0,-58500950591.0
Thành phẩm bất động sản,Thành phẩm bất động sản,Thành phẩm bất động sản,173.330.273.189,-,173330273189.0,
Hàng hóa,Hàng hóa,Hàng hóa,37.680.262.993,(1.129.557.735),37680262993.0,-1129557735.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,93.214.995.752,(337.014.710),93214995752.0,-337014710.0
,,,3.540.504.527.610,(93.380.984.785),3540504527610.0,-93380984785.0
,,,1/1/2025,1/1/2025,,
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,605.485.421.257,(5.154.318.288),605485421257.0,-5154318288.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.125.474.148.589,(17.648.985.174),1125474148589.0,-17648985174.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,7.697.455.143,-,7697455143.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,777.182.403.236,(2.210.405.049),777182403236.0,-2210405049.0
Thành phẩm đệt may,Thành phẩm đệt may,Thành phẩm đệt may,575.644.383.411,(45.211.921.761),575644383411.0,-45211921761.0
Hàng hóa,Hàng hóa,Hàng hóa,45.064.072.699,(1.918.802.591),45064072699.0,-1918802591.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,153.793.378.249,(300.869.918),153793378249.0,-300869918.0
,,,3.290.341.262.584,(72.445.302.781),3290341262584.0,-72445302781.0
