row_label_raw,row_label_full,col_0,2024 > Lợi nhuận thuần thuộc về các cổ đông phổ thông của Tập đoàn Đệt May Việt Nam VND,2024 > Lãi cơ bản trên cổ phiếu VND,numeric__2024 > Lợi nhuận thuần thuộc về các cổ đông phổ thông của Tập đoàn Đệt May Việt Nam VND,numeric__2024 > Lãi cơ bản trên cổ phiếu VND
Số báo cáo trước đây,Số báo cáo trước đây,Số báo cáo trước đây,304.382.936.554,609,304382936554.0,609.0
"Ảnh hưởng của điều chỉnh số phân bổ vào quỹ khen thưởng, phúc lợi","Ảnh hưởng của điều chỉnh số phân bổ vào quỹ khen thưởng, phúc lợi","Ảnh hưởng của điều chỉnh số phân bổ vào quỹ khen thưởng, phúc lợi",8.910.000.000,18,8910000000.0,18.0
Số điều chỉnh lại,Số điều chỉnh lại,Số điều chỉnh lại,313.292.936.554,627,313292936554.0,627.0
