row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,31/12/2025 Dự phòng VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__Giá gốc VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2025 Dự phòng VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__Giá trị hợp lý VND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn
▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),3.190.214.146.464,-,3.190.214.146.464,3190214146464.0,,3190214146464.0
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),122.270.649.336,(122.270.649.336),(*),122270649336.0,-122270649336.0,
▪ Trái phiếu chuyển đổi (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu chuyển đổi (iii),▪ Trái phiếu chuyển đổi (iii),45.360.000.000,-,(*),45360000000.0,,
▪ Tiền gửi có kỳ hạn (iv),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Tiền gửi có kỳ hạn (iv),▪ Tiền gửi có kỳ hạn (iv),75.018.000.000,-,(*),75018000000.0,,
,,,242.648.649.336,(122.270.649.336),,242648649336.0,-122270649336.0,
,,,Giá gốc VND,1/1/2025 Dự phòng VND,Giá trị hợp lý VND,,,
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,,,
▪ Tiền gửi có kỳ hạn (i),Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > ▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),2.470.361.179.586,-,2.470.361.179.586,2470361179586.0,,2470361179586.0
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),147.080.649.336,(133.479.665.658),(*),147080649336.0,-133479665658.0,
▪ Trái phiếu ngân hàng,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu ngân hàng,▪ Trái phiếu ngân hàng,1.500.000.000,-,(*),1500000000.0,,
,,,148.580.649.336,(133.479.665.658),,148580649336.0,-133479665658.0,
