row_label_raw,row_label_full,col_0,Thời gianquá hạn,31/12/2025 > Giá gốcVND,31/12/2025 > Dự phòngVND,31/12/2025 > Giá trịcó thể thu hồiVND,Thời gianquá hạn_1,1/1/2025 > Giá gốcVND,1/1/2025 > Dự phòngVND,1/1/2025 > Giá trịcó thể thu hồiVND,numeric__Thời gianquá hạn,numeric__31/12/2025 > Giá gốcVND,numeric__31/12/2025 > Dự phòngVND,numeric__31/12/2025 > Giá trịcó thể thu hồiVND,numeric__Thời gianquá hạn_1,numeric__1/1/2025 > Giá gốcVND,numeric__1/1/2025 > Dự phòngVND,numeric__1/1/2025 > Giá trịcó thể thu hồiVND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,,,,,
Dệt May Liên Phương,Công ty Cổ phần > Dệt May Liên Phương,Dệt May Liên Phương,Trên 3 năm,102.909.924.796,(102.909.924.796),-,Trên 3 năm,102.909.924.796,(102.909.924.796),-,,102909924796.0,-102909924796.0,,,102909924796.0,-102909924796.0,
Tổng Công ty Nông nghiệp Sài Gòn,Công ty Cổ phần > Tổng Công ty Nông nghiệp Sài Gòn,Tổng Công ty Nông nghiệp Sài Gòn,Trên 3 năm,43.532.895.759,(24.032.895.759),19.500.000.000,Trên 3 năm,43.532.895.759,(16.291.758.178),27.241.137.581,,43532895759.0,-24032895759.0,19500000000.0,,43532895759.0,-16291758178.0,27241137581.0
Công ty Cổ phần Tập đoàn An Phát,Công ty Cổ phần > Công ty Cổ phần Tập đoàn An Phát,Công ty Cổ phần Tập đoàn An Phát,Trên 3 năm,40.145.792.764,(40.145.792.764),-,Trên 3 năm,40.173.792.764,(40.173.792.764),-,,40145792764.0,-40145792764.0,,,40173792764.0,-40173792764.0,
Công ty TNHH Đệt May Hoàng Anh,Công ty Cổ phần > Công ty TNHH Đệt May Hoàng Anh,Công ty TNHH Đệt May Hoàng Anh,Trên 3 năm,33.468.572.750,(33.468.572.750),-,Trên 3 năm,33.513.572.750,(33.513.572.750),-,,33468572750.0,-33468572750.0,,,33513572750.0,-33513572750.0,
Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu Hà Đông,Công ty Cổ phần > Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu Hà Đông,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu Hà Đông,Trên 3 năm,27.948.566.760,(27.948.566.760),-,Trên 3 năm,27.948.566.760,(27.948.566.760),-,,27948566760.0,-27948566760.0,,,27948566760.0,-27948566760.0,
Các khách hàng khác,Công ty Cổ phần > Các khách hàng khác,Các khách hàng khác,Trên 3 năm,193.219.633.321,(192.804.957.796),414.675.525,Trên 3 năm,198.498.942.967,(198.498.942.967),-,,193219633321.0,-192804957796.0,414675525.0,,198498942967.0,-198498942967.0,
Các khách hàng khác,Công ty Cổ phần > Các khách hàng khác,Các khách hàng khác,Từ 2 - 3 năm,25.153.407.352,(18.132.345.422),7.021.061.930,Từ 2 - 3 năm,12.655.029.475,(8.815.394.792),3.839.634.683,,25153407352.0,-18132345422.0,7021061930.0,,12655029475.0,-8815394792.0,3839634683.0
Các khách hàng khác,Công ty Cổ phần > Các khách hàng khác,Các khách hàng khác,Từ 1 - 2 năm,5.103.360.290,(4.918.748.523),184.611.767,Từ 1 - 2 năm,2.481.196.590,(1.240.598.295),1.240.598.295,,5103360290.0,-4918748523.0,184611767.0,,2481196590.0,-1240598295.0,1240598295.0
,,,Từ 6 thángđến 1 năm,,,,Từ 6 thángđến 1 năm,,,,,,,,,,,
Các khách hàng khác,Công ty Cổ phần > Các khách hàng khác,Các khách hàng khác,,4.222.937.136,(1.010.912.303),3.212.024.833,,2.148.263.912,(654.753.779),1.493.510.133,,4222937136.0,-1010912303.0,3212024833.0,,2148263912.0,-654753779.0,1493510133.0
,,,,475.705.090.928,(445.372.716.873),30.332.374.055,,463.862.185.773,(430.047.305.081),33.814.880.692,,475705090928.0,-445372716873.0,30332374055.0,,463862185773.0,-430047305081.0,33814880692.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Dự phòng phải thu khó đòi – ngắn hạn,Trong đó: > Dự phòng phải thu khó đòi – ngắn hạn,Dự phòng phải thu khó đòi – ngắn hạn,,,(339.262.792.077),,,,(323.937.380.285),,,,-339262792077.0,,,,-323937380285.0,
Dự phòng phải thu khó đòi – dài hạn,Trong đó: > Dự phòng phải thu khó đòi – dài hạn,Dự phòng phải thu khó đòi – dài hạn,,,(106.109.924.796),,,,(106.109.924.796),,,,-106109924796.0,,,,-106109924796.0,
