row_label_raw,row_label_full,col_0,"Bông, Sợi VND",May VND,Dệt nhuộm VND,Các hoạt động khác VND,Loại trừ VND,Hợp nhất VND,"numeric__Bông, Sợi VND",numeric__May VND,numeric__Dệt nhuộm VND,numeric__Các hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,,,,
Tài sản của bộ phận,Tại ngày 31 tháng 12 năm 2025 > Tài sản của bộ phận,Tài sản của bộ phận,6.467.487.499.275,5.600.829.467.970,167.298.925.717,2.465.487.469.638,(2.950.974.940.617),11.750.128.421.983,6467487499275.0,5600829467970.0,167298925717.0,2465487469638.0,-2950974940617.0,11750128421983.0
Tài sản không phân bổ,Tại ngày 31 tháng 12 năm 2025 > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,8.804.763.747.413,,,,,,8804763747413.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2025 > Tổng tài sản,Tổng tài sản,,,,,,20.554.892.169.396,,,,,,20554892169396.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2025 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,3.885.993.448.907,3.301.630.422.030,151.474.100.617,1.132.926.972.576,(1.691.539.728.776),6.780.485.215.354,3885993448907.0,3301630422030.0,151474100617.0,1132926972576.0,-1691539728776.0,6780485215354.0
Nợ phải trả không phân bổ,Tại ngày 31 tháng 12 năm 2025 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,3.768.727.587.368,,,,,,3768727587368.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2025 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,10.549.212.802.722,,,,,,10549212802722.0
Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,,,,,,
Chỉ tiêu vốn,Năm 2025 > Chỉ tiêu vốn,Chỉ tiêu vốn,,,,,,839.643.695.002,,,,,,839643695002.0
Khẩu hao tài sản cố định hữu hình,Năm 2025 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,,,,,,760.085.890.244,,,,,,760085890244.0
Khẩu hao tài sản cố định hữu hình thuê tài chính,Năm 2025 > Khẩu hao tài sản cố định hữu hình thuê tài chính,Khẩu hao tài sản cố định hữu hình thuê tài chính,,,,,,14.870.514.550,,,,,,14870514550.0
Khẩu hao tài sản cố định vô hình,Năm 2025 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,,,,,,4.610.837.878,,,,,,4610837878.0
Khẩu hao bất động sản đầu tư,Năm 2025 > Khẩu hao bất động sản đầu tư,Khẩu hao bất động sản đầu tư,,,,,,14.273.152.189,,,,,,14273152189.0
