row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3
Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,,,,
,,,Hạ tầngkhu công nghiệpVND,"Nhà cửa,vật kiến trúcVND",Quyềnsử dụng đấtVND,Tổng cộngVND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,211.082.890.880,149.646.642.354,5.862.462.662,366.591.995.896,211082890880.0,149646642354.0,5862462662.0,366591995896.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,17.871.196.786,-,17.871.196.786,,17871196786.0,,17871196786.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,180.356.817.815,40.572.468.172,220.929.285.987,,180356817815.0,40572468172.0,220929285987.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,211.082.890.880,347.874.656.955,46.434.930.834,605.392.478.669,211082890880.0,347874656955.0,46434930834.0,605392478669.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,42.251.414.627,55.069.521.791,4.339.583.057,101.660.519.475,42251414627.0,55069521791.0,4339583057.0,101660519475.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.890.912.948,7.531.648.221,850.591.020,14.273.152.189,5890912948.0,7531648221.0,850591020.0,14273152189.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,7.591.000.019,-,7.591.000.019,,7591000019.0,,7591000019.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,48.142.327.575,70.192.170.031,5.190.174.077,123.524.671.683,48142327575.0,70192170031.0,5190174077.0,123524671683.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,168.831.476.253,94.577.120.563,1.522.879.605,264.931.476.421,168831476253.0,94577120563.0,1522879605.0,264931476421.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,162.940.563.305,277.682.486.924,41.244.756.757,481.867.806.986,162940563305.0,277682486924.0,41244756757.0,481867806986.0
