row_label_raw,row_label_full,20. Thuế và các khoản phải thu và phải nộp Nhà nước,20. Thuế và các khoản phải thu và phải nộp Nhà nước_1,20. Thuế và các khoản phải thu và phải nộp Nhà nước_2,20. Thuế và các khoản phải thu và phải nộp Nhà nước_3,20. Thuế và các khoản phải thu và phải nộp Nhà nước_4,numeric__20. Thuế và các khoản phải thu và phải nộp Nhà nước_1,numeric__20. Thuế và các khoản phải thu và phải nộp Nhà nước_2,numeric__20. Thuế và các khoản phải thu và phải nộp Nhà nước_3,numeric__20. Thuế và các khoản phải thu và phải nộp Nhà nước_4
(a) Thuế và các khoản khác phải thu Nhà nước,(a) Thuế và các khoản khác phải thu Nhà nước,(a) Thuế và các khoản khác phải thu Nhà nước,(a) Thuế và các khoản khác phải thu Nhà nước,(a) Thuế và các khoản khác phải thu Nhà nước,(a) Thuế và các khoản khác phải thu Nhà nước,(a) Thuế và các khoản khác phải thu Nhà nước,,,,
,,,1/1/2025VND,Số đã nộptrong nămVND,Số đã được hoàn/bù trừ trong nămVND,31/12/2025VND,,,,
Thuế thu nhập doanh nghiệp,(a) Thuế và các khoản khác phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,10.236.635.929,871.914.524,(2.498.812.724),8.609.737.729,10236635929.0,871914524.0,-2498812724.0,8609737729.0
Thuế xuất nhập khẩu,(a) Thuế và các khoản khác phải thu Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,392.972.872,711.363.849,(717.576.776),386.759.945,392972872.0,711363849.0,-717576776.0,386759945.0
Các loại thuế khác,(a) Thuế và các khoản khác phải thu Nhà nước > Các loại thuế khác,Các loại thuế khác,1.012.888.832,1.299.966.264,5.034.682.525,7.347.537.621,1012888832.0,1299966264.0,5034682525.0,7347537621.0
Các khoản khác,(a) Thuế và các khoản khác phải thu Nhà nước > Các khoản khác,Các khoản khác,14.264.423,-,9.298.247,23.562.670,14264423.0,,9298247.0,23562670.0
,,,11.656.762.056,2.883.244.637,1.827.591.272,16.367.597.965,11656762056.0,2883244637.0,1827591272.0,16367597965.0
