row_label_raw,row_label_full,Bà Trần Thị Thu Hằng,Trường ban,numeric__Trường ban
Bà Đoàn Thị Thu Hương,Bà Đoàn Thị Thu Hương,Bà Đoàn Thị Thu Hương,Thành viên,
Bà Đăng Thị Hồng Lê,Bà Đăng Thị Hồng Lê,Bà Đăng Thị Hồng Lê,Thành viên,
Bà Nguyễn Thanh Lê,Bà Nguyễn Thanh Lê,Bà Nguyễn Thanh Lê,Thành viên,
Bà Bùi Việt Phương,Bà Bùi Việt Phương,Bà Bùi Việt Phương,Thành viên(từ ngày 16/6/2025),
