row_label_raw,row_label_full,col_0,"Bông, sợi VND",May VND,Dệt nhuộm VND,Các hoạt động khác VND,Loại trừ VND,Hợp nhất VND,"numeric__Bông, sợi VND",numeric__May VND,numeric__Dệt nhuộm VND,numeric__Các hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,,,,,,
Doanh thu thuần bán ra bên ngoài,Năm 2025 > Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,7.091.864.147.292,9.989.247.489.572,513.052.632.405,778.762.406.801,-,18.372.926.676.070,7091864147292.0,9989247489572.0,513052632405.0,778762406801.0,,18372926676070.0
Doanh thu thuần giữa các bộ phận,Năm 2025 > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,1.326.200.818.950,411.206.028.798,-,247.887.284.422,(1.985.294.132.170),-,1326200818950.0,411206028798.0,,247887284422.0,-1985294132170.0,
Doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,Năm 2025 > Doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ của bộ phận,8.418.064.966.242,10.400.453.518.370,513.052.632.405,1.026.649.691.223,(1.985.294.132.170),18.372.926.676.070,8418064966242.0,10400453518370.0,513052632405.0,1026649691223.0,-1985294132170.0,18372926676070.0
Kết quả kinh doanh của bộ phận,Năm 2025 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,507.872.268.099,1.502.571.270.338,56.685.762.830,296.462.912.900,-,2.363.592.214.167,507872268099.0,1502571270338.0,56685762830.0,296462912900.0,,2363592214167.0
Doanh thu tài chính,Năm 2025 > Doanh thu tài chính,Doanh thu tài chính,,,,,,361.964.721.607,,,,,,361964721607.0
Chi phí tài chính,Năm 2025 > Chi phí tài chính,Chi phí tài chính,,,,,,(422.527.190.460),,,,,,-422527190460.0
Phần lãi trong công ty liên kết,Năm 2025 > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,677.807.868.195,,,,,,677807868195.0
Chi phí không phân bổ,Năm 2025 > Chi phí không phân bổ,Chi phí không phân bổ,,,,,,(1.531.364.065.714),,,,,,-1531364065714.0
Kết quả hoạt động khác,Năm 2025 > Kết quả hoạt động khác,Kết quả hoạt động khác,,,,,,30.294.880.591,,,,,,30294880591.0
Lợi nhuận trước thuế không phân bổ,Năm 2025 > Lợi nhuận trước thuế không phân bổ,Lợi nhuận trước thuế không phân bổ,,,,,,1.479.768.428.386,,,,,,1479768428386.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm 2025 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(141.377.046.994),,,,,,-141377046994.0
Chi phí thuế thu nhập hoãn lại,Năm 2025 > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,,,,(14.452.882.066),,,,,,-14452882066.0
Lợi nhuận thuần sau thuế TNDN,Năm 2025 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,,1.323.938.499.326,,,,,,1323938499326.0
