row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.989.801.269.971,9.444.409.284.667,440.839.297.616,121.702.967.085,186.337.033.568,14.183.089.852.907,3989801269971.0,9444409284667.0,440839297616.0,121702967085.0,186337033568.0,14183089852907.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,12.950.659.483,55.006.409.975,9.372.927.234,1.543.918.592,5.509.403.343,84.383.318.627,12950659483.0,55006409975.0,9372927234.0,1543918592.0,5509403343.0,84383318627.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,41.725.755.112,156.535.680.079,18.108.598.037,7.342.889.554,546.240.000,224.259.162.782,41725755112.0,156535680079.0,18108598037.0,7342889554.0,546240000.0,224259162782.0
Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Chuyển từ tài sản cố định hữu hìnhthuê tài chính,-,18.896.338.176,-,-,-,18.896.338.176,,18896338176.0,,,,18896338176.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(17.871.196.786),-,-,-,-,(17.871.196.786),-17871196786.0,,,,,-17871196786.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(1.521.000.000),-,-,-,(1.521.000.000),,-1521000000.0,,,,-1521000000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(15.472.101.603),(187.708.281.633),(10.635.018.986),(411.279.915),(6.349.241.679),(220.575.923.816),-15472101603.0,-187708281633.0,-10635018986.0,-411279915.0,-6349241679.0,-220575923816.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(7.635.130.144),10.679.737.063,871.891.109,(3.007.648.028),(908.850.000),-,-7635130144.0,10679737063.0,871891109.0,-3007648028.0,-908850000.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.003.499.256.033,9.496.298.168.327,458.557.695.010,127.170.847.288,185.134.585.232,14.270.660.551.890,4003499256033.0,9496298168327.0,458557695010.0,127170847288.0,185134585232.0,14270660551890.0
