row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,a. Ngân hạn,,
Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 1 (i),a. Ngân hạn > Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 1 (i),Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 1 (i),1.525.208.230.131,-,1525208230131.0,
Bảo hiểm tài sản và vận hành Nhà máy Nhiệt điện Vũng Áng 1,a. Ngân hạn > Bảo hiểm tài sản và vận hành Nhà máy Nhiệt điện Vũng Áng 1,Bảo hiểm tài sản và vận hành Nhà máy Nhiệt điện Vũng Áng 1,45.683.417.595,15.218.028.592,45683417595.0,15218028592.0
Bảo hiểm vận hành các Nhà máy điện Nhơn Trạch 1 và 2,a. Ngân hạn > Bảo hiểm vận hành các Nhà máy điện Nhơn Trạch 1 và 2,Bảo hiểm vận hành các Nhà máy điện Nhơn Trạch 1 và 2,13.757.046.824,23.366.343.768,13757046824.0,23366343768.0
Bảo hiểm vận hành các Nhà máy điện Cà Mau 1 và 2,a. Ngân hạn > Bảo hiểm vận hành các Nhà máy điện Cà Mau 1 và 2,Bảo hiểm vận hành các Nhà máy điện Cà Mau 1 và 2,12.796.725.394,7.486.620.597,12796725394.0,7486620597.0
Chi phí trả trước ngắn hạn khác,a. Ngân hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,10.896.912.876,4.874.337.989,10896912876.0,4874337989.0
,,,1.608.342.332.820,50.945.330.946,1608342332820.0,50945330946.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 2 (i),b. Dài hạn > Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 2 (i),Chi phí nhiên liệu khí bao tiêu của Nhà máy Điện Nhơn Trạch 2 (i),328.147.528.756,-,328147528756.0,
Chi phí trung tu Nhà máy Điện Nhơn Trạch 2 chờ phân bổ (ii),b. Dài hạn > Chi phí trung tu Nhà máy Điện Nhơn Trạch 2 chờ phân bổ (ii),Chi phí trung tu Nhà máy Điện Nhơn Trạch 2 chờ phân bổ (ii),125.878.822.858,176.458.277.759,125878822858.0,176458277759.0
"Phí huy động, phí biến đối và phí cố định hợp đồng bảo trì thiết bị Nhà máy Điện Nhơn Trạch 2 (iii)","b. Dài hạn > Phí huy động, phí biến đối và phí cố định hợp đồng bảo trì thiết bị Nhà máy Điện Nhơn Trạch 2 (iii)","Phí huy động, phí biến đối và phí cố định hợp đồng bảo trì thiết bị Nhà máy Điện Nhơn Trạch 2 (iii)",57.980.561.151,84.957.009.590,57980561151.0,84957009590.0
Chi phí sửa chữa tài sản khác,b. Dài hạn > Chi phí sửa chữa tài sản khác,Chi phí sửa chữa tài sản khác,53.400.542.599,59.806.954.132,53400542599.0,59806954132.0
Tiền thuê đất,b. Dài hạn > Tiền thuê đất,Tiền thuê đất,38.978.108.689,43.157.422.727,38978108689.0,43157422727.0
Chi phí thuê văn phòng,b. Dài hạn > Chi phí thuê văn phòng,Chi phí thuê văn phòng,22.863.998.037,25.499.880.720,22863998037.0,25499880720.0
Chi phí đến bù giải phóng mặt bằng Nhà máy Điện Nhơn Trạch 2,b. Dài hạn > Chi phí đến bù giải phóng mặt bằng Nhà máy Điện Nhơn Trạch 2,Chi phí đến bù giải phóng mặt bằng Nhà máy Điện Nhơn Trạch 2,18.463.004.046,18.790.829.448,18463004046.0,18790829448.0
Lợi thể kinh doanh,b. Dài hạn > Lợi thể kinh doanh,Lợi thể kinh doanh,-,28.542.933.921,,28542933921.0
Phí bảo hiểm khoản vay tín dụng,b. Dài hạn > Phí bảo hiểm khoản vay tín dụng,Phí bảo hiểm khoản vay tín dụng,-,26.637.025.907,,26637025907.0
Chi phí trả trước dài hạn khác,b. Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,4.168.820.161,100.860.708.297,4168820161.0,100860708297.0
,,,649.881.386.297,564.711.042.501,649881386297.0,564711042501.0
