row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvăn tailsVND,Thiết bịvăn phòngVND,Tài sản cố định hữuhình khácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvăn tailsVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản cố định hữuhình khácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,18.220.417.175.808,48.734.673.995.205,324.767.746.181,183.267.924.640,2.135.226.029.669,69.598.352.871.503,18220417175808.0,48734673995205.0,324767746181.0,183267924640.0,2135226029669.0,69598352871503.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,557.554.876,17.144.940.669,3.600.466.353,32.638.790.478,127.863.636,54.069.616.012,557554876.0,17144940669.0,3600466353.0,32638790478.0,127863636.0,54069616012.0
Đầu tư xây dựng cơ bản hoànthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoànthành,Đầu tư xây dựng cơ bản hoànthành,35.777.105.011,126.089.164,-,2.166.911.614,829.656.985,38.899.762.774,35777105011.0,126089164.0,,2166911614.0,829656985.0,38899762774.0
"Cải tạo, nâng cấp","NGUYÊN GIÁ > Cải tạo, nâng cấp","Cải tạo, nâng cấp",-,1.435.618.273,-,16.560.000,-,1.452.178.273,,1435618273.0,,16560000.0,,1452178273.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(226.232.208),(9.626.445.168),(862.717.041),-,(10.715.394.417),,-226232208.0,-9626445168.0,-862717041.0,,-10715394417.0
Giảm do thanh lýcông ty con,NGUYÊN GIÁ > Giảm do thanh lýcông ty con,Giảm do thanh lýcông ty con,(37.100.022.317),(1.625.550.000),(7.657.788.085),(1.351.769.876),-,(47.735.130.278),-37100022317.0,-1625550000.0,-7657788085.0,-1351769876.0,,-47735130278.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(536.331.000),536.331.000,-,-,-,-,-536331000.0,536331000.0,,,,
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,35.222.698.863,-,30.354.545,-,35.253.053.408,,35222698863.0,,30354545.0,,35253053408.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,18.219.115.482.378,48.787.287.890.966,311.083.979.281,215.906.054.360,2.136.183.550.290,69.669.576.957.275,18219115482378.0,48787287890966.0,311083979281.0,215906054360.0,2136183550290.0,69669576957275.0
GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,GIÁ TRI HAO MÔN LÓY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÔN LÓY KẾ > Số dư đầu năm,Số dư đầu năm,6.185.620.775.699,28.031.815.422.898,255.785.360.213,133.238.619.630,444.353.531.411,35.050.813.709.851,6185620775699.0,28031815422898.0,255785360213.0,133238619630.0,444353531411.0,35050813709851.0
Trích khấu hao vào chỉ phítrong năm,GIÁ TRI HAO MÔN LÓY KẾ > Trích khấu hao vào chỉ phítrong năm,Trích khấu hao vào chỉ phítrong năm,796.504.165.258,1.893.066.228.899,15.408.424.914,17.357.957.355,89.654.777.696,2.811.991.554.122,796504165258.0,1893066228899.0,15408424914.0,17357957355.0,89654777696.0,2811991554122.0
Trích khấu hao vào xây dựng cơ bản dở dang trong năm,GIÁ TRI HAO MÔN LÓY KẾ > Trích khấu hao vào xây dựng cơ bản dở dang trong năm,Trích khấu hao vào xây dựng cơ bản dở dang trong năm,-,-,113.696.847,575.487.841,-,689.184.688,,,113696847.0,575487841.0,,689184688.0
"Thanh lý, nhượng bán","GIÁ TRI HAO MÔN LÓY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(226.232.208),(9.626.445.168),(862.717.041),-,(10.715.394.417),,-226232208.0,-9626445168.0,-862717041.0,,-10715394417.0
Giảm do thanh lý công ty con,GIÁ TRI HAO MÔN LÓY KẾ > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(13.414.636.677),(618.069.089),(6.677.012.006),(759.705.854),-,(21.469.423.626),-13414636677.0,-618069089.0,-6677012006.0,-759705854.0,,-21469423626.0
Phân loại lại,GIÁ TRI HAO MÔN LÓY KẾ > Phân loại lại,Phân loại lại,(89.551.619),89.551.619,-,-,-,-,-89551619.0,89551619.0,,,,
Tăng khác,GIÁ TRI HAO MÔN LÓY KẾ > Tăng khác,Tăng khác,282.616.350,3.114.699.600,-,-,-,3.397.315.950,282616350.0,3114699600.0,,,,3397315950.0
Số dư cuối năm,GIÁ TRI HAO MÔN LÓY KẾ > Số dư cuối năm,Số dư cuối năm,6.968.903.369.011,29.927.241.601.719,255.004.024.800,149.549.641.931,534.008.309.107,37.834.706.946.568,6968903369011.0,29927241601719.0,255004024800.0,149549641931.0,534008309107.0,37834706946568.0
GIÁ TRI CÔN LAITại ngày đầu năm,GIÁ TRI HAO MÔN LÓY KẾ > GIÁ TRI CÔN LAITại ngày đầu năm,GIÁ TRI CÔN LAITại ngày đầu năm,12.034.796.400.109,20.702.858.572.307,68.982.385.968,50.029.305.010,1.690.872.498.258,34.547.539.161.652,12034796400109.0,20702858572307.0,68982385968.0,50029305010.0,1690872498258.0,34547539161652.0
Tại ngày cuối năm,GIÁ TRI HAO MÔN LÓY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,11.250.212.113.367,18.860.046.289.247,56.079.954.481,66.356.412.429,1.602.175.241.183,31.834.870.010.707,11250212113367.0,18860046289247.0,56079954481.0,66356412429.0,1602175241183.0,31834870010707.0
