row_label_raw,row_label_full,col_0,Vốn gópcủa chủ sở hữuVND,Thặng dưvốn cố phânVND,Vốn kháccủa chế sở hữuVND,Chênh lệchđánh giá lợiVND,Quỹ đầu tưphát triểnVND,Lợi nhuận sau thuế chưaphản phốiVND,Lợi ích cố đồng khôngklámn soátVND,Tổng cộngVND,numeric__Vốn gópcủa chủ sở hữuVND,numeric__Thặng dưvốn cố phânVND,numeric__Vốn kháccủa chế sở hữuVND,numeric__Chênh lệchđánh giá lợiVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuận sau thuế chưaphản phốiVND,numeric__Lợi ích cố đồng khôngklámn soátVND,numeric__Tổng cộngVND
Tại ngày 01 tháng 01 năm 2020,Tại ngày 01 tháng 01 năm 2020,Tại ngày 01 tháng 01 năm 2020,23.418.716.000.000,(274.807.025),227.887.397.807,(191.305.728.000),780.958.252.480,2.672.959.872.100,2.625.441.435.648,29.534.382.423.010,23418716000000.0,-274807025.0,227887397807.0,-191305728000.0,780958252480.0,2672959872100.0,2625441435648.0,29534382423010.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.365.014.893.441,297.651.191.083,2.662.666.084.524,,,,,,2365014893441.0,297651191083.0,2662666084524.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,1.669.806.970,(1.669.806.970),-,-,,,,,1669806970.0,-1669806970.0,,
"Trích quỹ khen thưởng, phúc lợi, quỹthường viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹthường viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹthường viên chức quản lý",-,-,-,-,-,(22.731.646.815),(14.598.451.873),(37.330.098.688),,,,,,-22731646815.0,-14598451873.0,-37330098688.0
Thay đổi do giám tỷ lệ sở hữu Công tycon,Thay đổi do giám tỷ lệ sở hữu Công tycon,Thay đổi do giám tỷ lệ sở hữu Công tycon,-,-,(2.225.252.069),-,(198.354.461),(7.020.868.669),105.174.475.199,95.730.000.000,,,-2225252069.0,,-198354461.0,-7020868669.0,105174475199.0,95730000000.0
Tăng do thành lập mới Công ty con,Tăng do thành lập mới Công ty con,Tăng do thành lập mới Công ty con,-,-,-,-,-,-,29.400.000.000,29.400.000.000,,,,,,,29400000000.0,29400000000.0
Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,-,-,-,-,-,(702.561.480.000),(313.487.168.596),(1.016.048.648.596),,,,,,-702561480000.0,-313487168596.0,-1016048648596.0
Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,-,-,-,-,(213.119.678),(1.760.273.826),(232.987.272),(2.206.380.776),,,,,-213119678.0,-1760273826.0,-232987272.0,-2206380776.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,23.418.716.000.000,(274.807.025),225.662.145.738,(191.305.728.000),782.216.585.311,4.302.230.689.261,2.729.348.494.189,31.266.593.379.474,23418716000000.0,-274807025.0,225662145738.0,-191305728000.0,782216585311.0,4302230689261.0,2729348494189.0,31266593379474.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.798.554.042.056,253.599.109.361,2.052.153.151.417,,,,,,1798554042056.0,253599109361.0,2052153151417.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,1.393.913.110.901,(1.393.913.110.901),-,-,,,,,1393913110901.0,-1393913110901.0,,
Kết chuyển lợi nhuận trước cố phànhóa phải nộp về Tập đoàn (*),Kết chuyển lợi nhuận trước cố phànhóa phải nộp về Tập đoàn (*),Kết chuyển lợi nhuận trước cố phànhóa phải nộp về Tập đoàn (*),-,-,-,-,-,(1.028.174.152.403),-,(1.028.174.152.403),,,,,,-1028174152403.0,,-1028174152403.0
"Trích quỹ khen thưởng, phúc lợi, quỹthường viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹthường viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹthường viên chức quản lý",-,-,-,-,-,(190.837.131.483),(11.969.365.569),(202.806.497.052),,,,,,-190837131483.0,-11969365569.0,-202806497052.0
Thay đổi do thời vốn/ giảm tỷ lệ sốhửu Công ty con,Thay đổi do thời vốn/ giảm tỷ lệ sốhửu Công ty con,Thay đổi do thời vốn/ giảm tỷ lệ sốhửu Công ty con,-,-,58.226.907,-,(1.537.095.978),(9.061.168.520),(241.425.096.505),(251.965.134.096),,,58226907.0,,-1537095978.0,-9061168520.0,-241425096505.0,-251965134096.0
Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,-,-,-,-,-,(468.374.320.000),(241.984.898.000),(710.359.218.000),,,,,,-468374320000.0,-241984898000.0,-710359218000.0
Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,Chia cố tức(Giảm) khác,-,-,-,-,(34.469.302),5.372.638,(34.722.083),(63.818.747),,,,,-34469302.0,5372638.0,-34722083.0,-63818747.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),2.174.558.130.932,3.010.430.220.548,2.487.533.521.393,31.125.377.710.593,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,2174558130932.0,3010430220548.0,2487533521393.0,31125377710593.0
