row_label_raw,row_label_full,Lợi nhuận trong năm phân bổ cho các cổ đông sở hữu cổ phiếu phố thông (VND) > Trừ: Số tiền trích Quỹ khen thưởng phúc lợi (i),Năm nay > 1.798.554.042.056 > (25.365.589.012),Năm trifórc(Trình bày lại) > 2.365.014.893.441 > (190.837.131.483),numeric__Năm nay > 1.798.554.042.056 > (25.365.589.012),numeric__Năm trifórc(Trình bày lại) > 2.365.014.893.441 > (190.837.131.483)
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),1.773.188.453.044,2.174.177.761.958,1773188453044.0,2174177761958.0
Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),2.341.871.600,2.341.871.600,2341871600.0,2341871600.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),757,928,757.0,928.0
