row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Trong năm > Giảm do thanh lý Công ty con,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Trong năm > Giảm do thanh lý Công ty con,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.862.150.926.216,3.862.150.926.216,15.649.159.046.550,16.539.805.866.695,75.479.978.000,2.896.024.128.071,2.896.024.128.071,3862150926216.0,3862150926216.0,15649159046550.0,16539805866695.0,75479978000.0,2896024128071.0,2896024128071.0
Vay dải hạn đến hạn trả,Vay dải hạn đến hạn trả,Vay dải hạn đến hạn trả,3.156.549.788.389,3.156.549.788.389,1.683.888.315.455,3.164.618.180.131,2.229.290.000,1.673.590.633.713,1.673.590.633.713,3156549788389.0,3156549788389.0,1683888315455.0,3164618180131.0,2229290000.0,1673590633713.0,1673590633713.0
Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,-,-,198.888.888.886,-,-,198.888.888.886,198.888.888.886,,,198888888886.0,,,198888888886.0,198888888886.0
,,,7.018.700.714.605,7.018.700.714.605,17.531.936.250.891,19.704.424.046.826,77.709.268.000,4.768.503.650.670,4.768.503.650.670,7018700714605.0,7018700714605.0,17531936250891.0,19704424046826.0,77709268000.0,4768503650670.0,4768503650670.0
