row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số,Năm nay,Năm nay_1,numeric__CHỈ TIỀU,numeric__Mã số,numeric__Năm nay,numeric__Năm nay_1
III.,III.,III.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,125.130.000.000,,31.0,,125130000000.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,14.980.777.529.361,14.184.792.268.744,,33.0,14980777529361.0,14184792268744.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(18.825.925.747.278),(19.356.058.770.319),,34.0,-18825925747278.0,-19356058770319.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(710.198.848.892),(1.025.180.355.668),,36.0,-710198848892.0,-1025180355668.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(4.555.347.066.809),(6.071.316.857.243),,40.0,-4555347066809.0,-6071316857243.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,1.154.001.068.622,1.986.418.858.467,,50.0,1154001068622.0,1986418858467.0
,,,Tiền và tương đương tiền đầu năm,60,7.069.700.305.112,5.083.277.330.894,,60.0,7069700305112.0,5083277330894.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(8.339.206),4.115.751,,61.0,-8339206.0,4115751.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,8.223.693.034.528,7.069.700.305.112,,70.0,8223693034528.0,7069700305112.0
